date,carbon tax adjusted
2015-01-01,4.0
2015-01-02,11.0
2015-01-03,27.0
2015-01-04,12.0
2015-01-05,13.0
2015-01-06,10.0
2015-01-07,13.0
2015-01-08,0.0
2015-01-09,3.0
2015-01-10,11.0
2015-01-11,4.0
2015-01-12,7.0
2015-01-13,13.0
2015-01-14,29.0
2015-01-15,13.0
2015-01-16,17.0
2015-01-17,4.0
2015-01-18,8.0
2015-01-19,13.0
2015-01-20,0.0
2015-01-21,6.0
2015-01-22,13.0
2015-01-23,10.0
2015-01-24,8.0
2015-01-25,11.0
2015-01-26,16.0
2015-01-27,10.0
2015-01-28,6.0
2015-01-29,26.0
2015-01-30,33.0
2015-01-31,0.0
2015-02-01,25.0
2015-02-02,12.0
2015-02-03,28.0
2015-02-04,19.0
2015-02-05,10.0
2015-02-06,13.0
2015-02-07,12.0
2015-02-08,11.0
2015-02-09,25.0
2015-02-10,10.0
2015-02-11,19.0
2015-02-12,13.0
2015-02-13,13.0
2015-02-14,8.0
2015-02-15,8.0
2015-02-16,3.0
2015-02-17,3.0
2015-02-18,13.0
2015-02-19,16.0
2015-02-20,7.0
2015-02-21,11.0
2015-02-22,4.0
2015-02-23,6.0
2015-02-24,6.0
2015-02-25,15.0
2015-02-26,22.0
2015-02-27,4.0
2015-02-28,5.0
2015-03-01,0.0
2015-03-02,21.0
2015-03-03,17.0
2015-03-04,13.0
2015-03-05,8.0
2015-03-06,13.0
2015-03-07,0.0
2015-03-08,10.0
2015-03-09,21.0
2015-03-10,17.0
2015-03-11,17.0
2015-03-12,13.0
2015-03-13,4.0
2015-03-14,25.0
2015-03-15,10.0
2015-03-16,25.0
2015-03-17,25.0
2015-03-18,8.0
2015-03-19,34.0
2015-03-20,17.0
2015-03-21,5.0
2015-03-22,25.0
2015-03-23,8.0
2015-03-24,29.0
2015-03-25,6.0
2015-03-26,19.0
2015-03-27,9.0
2015-03-28,11.0
2015-03-29,10.0
2015-03-30,17.0
2015-03-31,8.0
2015-04-01,35.0
2015-04-02,14.0
2015-04-03,19.0
2015-04-04,5.0
2015-04-05,5.0
2015-04-06,9.0
2015-04-07,4.0
2015-04-08,34.0
2015-04-09,21.0
2015-04-10,27.0
2015-04-11,5.0
2015-04-12,15.0
2015-04-13,34.0
2015-04-14,13.0
2015-04-15,21.0
2015-04-16,13.0
2015-04-17,4.0
2015-04-18,5.0
2015-04-19,15.0
2015-04-20,12.0
2015-04-21,8.0
2015-04-22,13.0
2015-04-23,26.0
2015-04-24,27.0
2015-04-25,10.0
2015-04-26,5.0
2015-04-27,13.0
2015-04-28,17.0
2015-04-29,8.0
2015-04-30,7.0
2015-05-01,28.0
2015-05-02,7.0
2015-05-03,0.0
2015-05-04,19.0
2015-05-05,25.0
2015-05-06,38.0
2015-05-07,26.0
2015-05-08,20.0
2015-05-09,0.0
2015-05-10,0.0
2015-05-11,7.0
2015-05-12,6.0
2015-05-13,19.0
2015-05-14,20.0
2015-05-15,20.0
2015-05-16,8.0
2015-05-17,37.0
2015-05-18,12.0
2015-05-19,18.0
2015-05-20,44.0
2015-05-21,12.0
2015-05-22,0.0
2015-05-23,7.0
2015-05-24,30.0
2015-05-25,33.0
2015-05-26,6.0
2015-05-27,0.0
2015-05-28,12.0
2015-05-29,33.0
2015-05-30,8.0
2015-05-31,0.0
2015-06-01,25.0
2015-06-02,25.0
2015-06-03,19.0
2015-06-04,27.0
2015-06-05,0.0
2015-06-06,30.0
2015-06-07,46.0
2015-06-08,18.0
2015-06-09,24.0
2015-06-10,19.0
2015-06-11,19.0
2015-06-12,34.0
2015-06-13,15.0
2015-06-14,22.0
2015-06-15,18.0
2015-06-16,18.0
2015-06-17,7.0
2015-06-18,39.0
2015-06-19,20.0
2015-06-20,8.0
2015-06-21,23.0
2015-06-22,38.0
2015-06-23,0.0
2015-06-24,7.0
2015-06-25,64.0
2015-06-26,13.0
2015-06-27,23.0
2015-06-28,8.0
2015-06-29,26.0
2015-06-30,45.0
2015-07-01,25.0
2015-07-02,51.0
2015-07-03,13.0
2015-07-04,46.0
2015-07-05,32.0
2015-07-06,25.0
2015-07-07,25.0
2015-07-08,38.0
2015-07-09,38.0
2015-07-10,26.0
2015-07-11,16.0
2015-07-12,46.0
2015-07-13,38.0
2015-07-14,25.0
2015-07-15,26.0
2015-07-16,26.0
2015-07-17,13.0
2015-07-18,49.0
2015-07-19,0.0
2015-07-20,13.0
2015-07-21,38.0
2015-07-22,13.0
2015-07-23,51.0
2015-07-24,13.0
2015-07-25,0.0
2015-07-26,16.0
2015-07-27,25.0
2015-07-28,99.0
2015-07-29,100.0
2015-07-30,38.0
2015-07-31,26.0
2015-08-01,46.0
2015-08-02,0.0
2015-08-03,13.0
2015-08-04,88.0
2015-08-05,38.0
2015-08-06,13.0
2015-08-07,13.0
2015-08-08,46.0
2015-08-09,30.0
2015-08-10,75.0
2015-08-11,88.0
2015-08-12,25.0
2015-08-13,51.0
2015-08-14,13.0
2015-08-15,0.0
2015-08-16,30.0
2015-08-17,50.0
2015-08-18,12.0
2015-08-19,38.0
2015-08-20,38.0
2015-08-21,13.0
2015-08-22,30.0
2015-08-23,14.0
2015-08-24,37.0
2015-08-25,25.0
2015-08-26,74.0
2015-08-27,25.0
2015-08-28,26.0
2015-08-29,30.0
2015-08-30,43.0
2015-08-31,12.0
2015-09-01,3.0
2015-09-02,5.0
2015-09-03,5.0
2015-09-04,7.0
2015-09-05,8.0
2015-09-06,2.0
2015-09-07,8.0
2015-09-08,8.0
2015-09-09,5.0
2015-09-10,8.0
2015-09-11,3.0
2015-09-12,4.0
2015-09-13,2.0
2015-09-14,6.0
2015-09-15,3.0
2015-09-16,5.0
2015-09-17,3.0
2015-09-18,7.0
2015-09-19,5.0
2015-09-20,5.0
2015-09-21,3.0
2015-09-22,6.0
2015-09-23,6.0
2015-09-24,3.0
2015-09-25,10.0
2015-09-26,2.0
2015-09-27,4.0
2015-09-28,5.0
2015-09-29,8.0
2015-09-30,5.0
2015-10-01,3.0
2015-10-02,7.0
2015-10-03,0.0
2015-10-04,4.0
2015-10-05,3.0
2015-10-06,1.0
2015-10-07,6.0
2015-10-08,8.0
2015-10-09,5.0
2015-10-10,0.0
2015-10-11,7.0
2015-10-12,6.0
2015-10-13,3.0
2015-10-14,9.0
2015-10-15,4.0
2015-10-16,8.0
2015-10-17,5.0
2015-10-18,7.0
2015-10-19,8.0
2015-10-20,6.0
2015-10-21,14.0
2015-10-22,6.0
2015-10-23,7.0
2015-10-24,2.0
2015-10-25,4.0
2015-10-26,4.0
2015-10-27,4.0
2015-10-28,6.0
2015-10-29,14.0
2015-10-30,4.0
2015-10-31,7.0
2015-11-01,0.0
2015-11-02,12.0
2015-11-03,8.0
2015-11-04,6.0
2015-11-05,16.0
2015-11-06,4.0
2015-11-07,7.0
2015-11-08,5.0
2015-11-09,12.0
2015-11-10,12.0
2015-11-11,8.0
2015-11-12,6.0
2015-11-13,13.0
2015-11-14,5.0
2015-11-15,5.0
2015-11-16,6.0
2015-11-17,6.0
2015-11-18,10.0
2015-11-19,6.0
2015-11-20,2.0
2015-11-21,0.0
2015-11-22,12.0
2015-11-23,48.0
2015-11-24,40.0
2015-11-25,14.0
2015-11-26,11.0
2015-11-27,6.0
2015-11-28,12.0
2015-11-29,9.0
2015-11-30,10.0
2015-12-01,22.0
2015-12-02,16.0
2015-12-03,16.0
2015-12-04,13.0
2015-12-05,10.0
2015-12-06,16.0
2015-12-07,18.0
2015-12-08,16.0
2015-12-09,10.0
2015-12-10,8.0
2015-12-11,11.0
2015-12-12,5.0
2015-12-13,16.0
2015-12-14,12.0
2015-12-15,14.0
2015-12-16,4.0
2015-12-17,11.0
2015-12-18,9.0
2015-12-19,0.0
2015-12-20,5.0
2015-12-21,2.0
2015-12-22,0.0
2015-12-23,2.0
2015-12-24,0.0
2015-12-25,3.0
2015-12-26,2.0
2015-12-27,5.0
2015-12-28,4.0
2015-12-29,7.0
2015-12-30,7.0
2015-12-31,7.0
2016-01-01,8.0
2016-01-02,12.0
2016-01-03,11.0
2016-01-04,10.0
2016-01-05,16.0
2016-01-06,10.0
2016-01-07,4.0
2016-01-08,23.0
2016-01-09,0.0
2016-01-10,14.0
2016-01-11,32.0
2016-01-12,19.0
2016-01-13,0.0
2016-01-14,36.0
2016-01-15,13.0
2016-01-16,11.0
2016-01-17,4.0
2016-01-18,7.0
2016-01-19,20.0
2016-01-20,29.0
2016-01-21,36.0
2016-01-22,47.0
2016-01-23,11.0
2016-01-24,18.0
2016-01-25,19.0
2016-01-26,44.0
2016-01-27,42.0
2016-01-28,36.0
2016-01-29,36.0
2016-01-30,7.0
2016-01-31,22.0
2016-02-01,35.0
2016-02-02,45.0
2016-02-03,35.0
2016-02-04,54.0
2016-02-05,37.0
2016-02-06,59.0
2016-02-07,44.0
