date,carbon tax
2015-01-01,13
2015-01-02,34
2015-01-03,83
2015-01-04,35
2015-01-05,40
2015-01-06,31
2015-01-07,40
2015-01-08,0
2015-01-09,10
2015-01-10,34
2015-01-11,11
2015-01-12,20
2015-01-13,39
2015-01-14,88
2015-01-15,39
2015-01-16,51
2015-01-17,12
2015-01-18,23
2015-01-19,39
2015-01-20,0
2015-01-21,19
2015-01-22,39
2015-01-23,30
2015-01-24,23
2015-01-25,34
2015-01-26,48
2015-01-27,29
2015-01-28,19
2015-01-29,78
2015-01-30,100
2015-01-31,0
2015-02-01,77
2015-02-02,38
2015-02-03,86
2015-02-04,58
2015-02-05,29
2015-02-06,41
2015-02-07,35
2015-02-08,34
2015-02-09,77
2015-02-10,29
2015-02-11,58
2015-02-12,39
2015-02-13,41
2015-02-14,23
2015-02-15,23
2015-02-16,10
2015-02-17,10
2015-02-18,39
2015-02-19,49
2015-02-20,20
2015-02-21,34
2015-02-22,11
2015-02-23,19
2015-02-24,19
2015-02-25,47
2015-02-26,68
2015-02-27,10
2015-02-28,11
2015-03-01,0
2015-03-02,48
2015-03-03,38
2015-03-04,29
2015-03-05,19
2015-03-06,30
2015-03-07,0
2015-03-08,23
2015-03-09,48
2015-03-10,38
2015-03-11,38
2015-03-12,29
2015-03-13,10
2015-03-14,57
2015-03-15,22
2015-03-16,58
2015-03-17,58
2015-03-18,19
2015-03-19,77
2015-03-20,39
2015-03-21,11
2015-03-22,56
2015-03-23,19
2015-03-24,67
2015-03-25,14
2015-03-26,44
2015-03-27,20
2015-03-28,24
2015-03-29,23
2015-03-30,38
2015-03-31,19
2015-04-01,79
2015-04-02,31
2015-04-03,44
2015-04-04,12
2015-04-05,12
2015-04-06,20
2015-04-07,10
2015-04-08,77
2015-04-09,48
2015-04-10,61
2015-04-11,12
2015-04-12,35
2015-04-13,78
2015-04-14,29
2015-04-15,49
2015-04-16,29
2015-04-17,10
2015-04-18,12
2015-04-19,34
2015-04-20,28
2015-04-21,19
2015-04-22,29
2015-04-23,59
2015-04-24,61
2015-04-25,23
2015-04-26,11
2015-04-27,29
2015-04-28,38
2015-04-29,19
2015-04-30,10
2015-05-01,43
2015-05-02,11
2015-05-03,0
2015-05-04,29
2015-05-05,38
2015-05-06,58
2015-05-07,39
2015-05-08,31
2015-05-09,0
2015-05-10,0
2015-05-11,10
2015-05-12,9
2015-05-13,29
2015-05-14,30
2015-05-15,30
2015-05-16,12
2015-05-17,56
2015-05-18,19
2015-05-19,28
2015-05-20,67
2015-05-21,19
2015-05-22,0
2015-05-23,11
2015-05-24,46
2015-05-25,50
2015-05-26,9
2015-05-27,0
2015-05-28,19
2015-05-29,50
2015-05-30,12
2015-05-31,0
2015-06-01,38
2015-06-02,38
2015-06-03,29
2015-06-04,41
2015-06-05,0
2015-06-06,46
2015-06-07,70
2015-06-08,28
2015-06-09,37
2015-06-10,29
2015-06-11,29
2015-06-12,51
2015-06-13,23
2015-06-14,34
2015-06-15,28
2015-06-16,28
2015-06-17,10
2015-06-18,59
2015-06-19,30
2015-06-20,12
2015-06-21,35
2015-06-22,57
2015-06-23,0
2015-06-24,10
2015-06-25,98
2015-06-26,20
2015-06-27,35
2015-06-28,12
2015-06-29,39
2015-06-30,68
2015-07-01,19
2015-07-02,39
2015-07-03,10
2015-07-04,35
2015-07-05,24
2015-07-06,19
2015-07-07,19
2015-07-08,29
2015-07-09,29
2015-07-10,20
2015-07-11,12
2015-07-12,35
2015-07-13,29
2015-07-14,19
2015-07-15,20
2015-07-16,20
2015-07-17,10
2015-07-18,37
2015-07-19,0
2015-07-20,10
2015-07-21,29
2015-07-22,10
2015-07-23,39
2015-07-24,10
2015-07-25,0
2015-07-26,12
2015-07-27,19
2015-07-28,75
2015-07-29,76
2015-07-30,29
2015-07-31,20
2015-08-01,35
2015-08-02,0
2015-08-03,10
2015-08-04,67
2015-08-05,29
2015-08-06,10
2015-08-07,10
2015-08-08,35
2015-08-09,23
2015-08-10,57
2015-08-11,67
2015-08-12,19
2015-08-13,39
2015-08-14,10
2015-08-15,0
2015-08-16,23
2015-08-17,38
2015-08-18,9
2015-08-19,29
2015-08-20,29
2015-08-21,10
2015-08-22,23
2015-08-23,11
2015-08-24,28
2015-08-25,19
2015-08-26,56
2015-08-27,19
2015-08-28,20
2015-08-29,23
2015-08-30,33
2015-08-31,9
2015-09-01,9
2015-09-02,13
2015-09-03,13
2015-09-04,18
2015-09-05,21
2015-09-06,5
2015-09-07,23
2015-09-08,22
2015-09-09,13
2015-09-10,22
2015-09-11,9
2015-09-12,10
2015-09-13,5
2015-09-14,17
2015-09-15,8
2015-09-16,13
2015-09-17,9
2015-09-18,18
2015-09-19,15
2015-09-20,15
2015-09-21,8
2015-09-22,17
2015-09-23,17
2015-09-24,9
2015-09-25,27
2015-09-26,5
2015-09-27,10
2015-09-28,13
2015-09-29,21
2015-09-30,13
2015-10-01,9
2015-10-02,18
2015-10-03,0
2015-10-04,10
2015-10-05,8
2015-10-06,4
2015-10-07,17
2015-10-08,21
2015-10-09,13
2015-10-10,0
2015-10-11,20
2015-10-12,17
2015-10-13,8
2015-10-14,25
2015-10-15,12
2015-10-16,22
2015-10-17,15
2015-10-18,19
2015-10-19,21
2015-10-20,17
2015-10-21,38
2015-10-22,17
2015-10-23,18
2015-10-24,5
2015-10-25,10
2015-10-26,12
2015-10-27,12
2015-10-28,12
2015-10-29,30
2015-10-30,9
2015-10-31,15
2015-11-01,0
2015-11-02,25
2015-11-03,17
2015-11-04,13
2015-11-05,34
2015-11-06,9
2015-11-07,15
2015-11-08,10
2015-11-09,25
2015-11-10,25
2015-11-11,17
2015-11-12,13
2015-11-13,26
2015-11-14,10
2015-11-15,10
2015-11-16,12
2015-11-17,12
2015-11-18,21
2015-11-19,13
2015-11-20,4
2015-11-21,0
2015-11-22,24
2015-11-23,100
2015-11-24,82
2015-11-25,29
2015-11-26,22
2015-11-27,13
2015-11-28,24
2015-11-29,19
2015-11-30,20
2015-12-01,45
2015-12-02,33
2015-12-03,34
2015-12-04,26
2015-12-05,20
2015-12-06,34
2015-12-07,37
2015-12-08,34
2015-12-09,21
2015-12-10,17
2015-12-11,22
2015-12-12,10
2015-12-13,34
2015-12-14,25
2015-12-15,30
2015-12-16,9
2015-12-17,22
2015-12-18,19
2015-12-19,0
2015-12-20,10
2015-12-21,4
2015-12-22,0
2015-12-23,5
2015-12-24,0
2015-12-25,6
2015-12-26,5
2015-12-27,10
