date,climate change adjusted
2015-01-01,10.0
2015-01-02,10.0
2015-01-03,8.0
2015-01-04,11.0
2015-01-05,15.0
2015-01-06,19.0
2015-01-07,21.0
2015-01-08,19.0
2015-01-09,14.0
2015-01-10,10.0
2015-01-11,19.0
2015-01-12,19.0
2015-01-13,24.0
2015-01-14,19.0
2015-01-15,23.0
2015-01-16,17.0
2015-01-17,13.0
2015-01-18,17.0
2015-01-19,15.0
2015-01-20,22.0
2015-01-21,28.0
2015-01-22,25.0
2015-01-23,24.0
2015-01-24,10.0
2015-01-25,14.0
2015-01-26,18.0
2015-01-27,20.0
2015-01-28,26.0
2015-01-29,20.0
2015-01-30,24.0
2015-01-31,14.0
2015-02-01,15.0
2015-02-02,20.0
2015-02-03,24.0
2015-02-04,20.0
2015-02-05,18.0
2015-02-06,17.0
2015-02-07,10.0
2015-02-08,16.0
2015-02-09,25.0
2015-02-10,25.0
2015-02-11,22.0
2015-02-12,19.0
2015-02-13,19.0
2015-02-14,10.0
2015-02-15,17.0
2015-02-16,22.0
2015-02-17,19.0
2015-02-18,19.0
2015-02-19,24.0
2015-02-20,21.0
2015-02-21,13.0
2015-02-22,15.0
2015-02-23,24.0
2015-02-24,24.0
2015-02-25,23.0
2015-02-26,29.0
2015-02-27,28.0
2015-02-28,19.0
2015-03-01,24.0
2015-03-02,33.0
2015-03-03,39.0
2015-03-04,35.0
2015-03-05,35.0
2015-03-06,26.0
2015-03-07,22.0
2015-03-08,25.0
2015-03-09,35.0
2015-03-10,38.0
2015-03-11,39.0
2015-03-12,31.0
2015-03-13,26.0
2015-03-14,21.0
2015-03-15,24.0
2015-03-16,37.0
2015-03-17,34.0
2015-03-18,32.0
2015-03-19,30.0
2015-03-20,24.0
2015-03-21,11.0
2015-03-22,21.0
2015-03-23,31.0
2015-03-24,40.0
2015-03-25,38.0
2015-03-26,35.0
2015-03-27,24.0
2015-03-28,20.0
2015-03-29,21.0
2015-03-30,29.0
2015-03-31,30.0
2015-04-01,28.0
2015-04-02,30.0
2015-04-03,23.0
2015-04-04,11.0
2015-04-05,13.0
2015-04-06,22.0
2015-04-07,38.0
2015-04-08,36.0
2015-04-09,33.0
2015-04-10,29.0
2015-04-11,17.0
2015-04-12,22.0
2015-04-13,34.0
2015-04-14,34.0
2015-04-15,34.0
2015-04-16,30.0
2015-04-17,27.0
2015-04-18,19.0
2015-04-19,21.0
2015-04-20,33.0
2015-04-21,39.0
2015-04-22,47.0
2015-04-23,37.0
2015-04-24,38.0
2015-04-25,22.0
2015-04-26,23.0
2015-04-27,40.0
2015-04-28,41.0
2015-04-29,34.0
2015-04-30,51.0
2015-05-01,46.0
2015-05-02,28.0
2015-05-03,42.0
2015-05-04,49.0
2015-05-05,58.0
2015-05-06,56.0
2015-05-07,52.0
2015-05-08,55.0
2015-05-09,22.0
2015-05-10,38.0
2015-05-11,54.0
2015-05-12,46.0
2015-05-13,46.0
2015-05-14,42.0
2015-05-15,39.0
2015-05-16,26.0
2015-05-17,27.0
2015-05-18,46.0
2015-05-19,48.0
2015-05-20,51.0
2015-05-21,54.0
2015-05-22,40.0
2015-05-23,21.0
2015-05-24,30.0
2015-05-25,34.0
2015-05-26,54.0
2015-05-27,51.0
2015-05-28,56.0
2015-05-29,46.0
2015-05-30,28.0
2015-05-31,30.0
2015-06-01,42.0
2015-06-02,44.0
2015-06-03,44.0
2015-06-04,52.0
2015-06-05,37.0
2015-06-06,25.0
2015-06-07,30.0
2015-06-08,39.0
2015-06-09,46.0
2015-06-10,44.0
2015-06-11,40.0
2015-06-12,34.0
2015-06-13,23.0
2015-06-14,30.0
2015-06-15,37.0
2015-06-16,40.0
2015-06-17,39.0
2015-06-18,60.0
2015-06-19,51.0
2015-06-20,25.0
2015-06-21,35.0
2015-06-22,51.0
2015-06-23,34.0
2015-06-24,37.0
2015-06-25,40.0
2015-06-26,25.0
2015-06-27,18.0
2015-06-28,30.0
2015-06-29,37.0
2015-06-30,43.0
2015-07-01,72.0
2015-07-02,68.0
2015-07-03,56.0
2015-07-04,35.0
2015-07-05,52.0
2015-07-06,73.0
2015-07-07,68.0
2015-07-08,85.0
2015-07-09,79.0
2015-07-10,55.0
2015-07-11,34.0
2015-07-12,48.0
2015-07-13,69.0
2015-07-14,69.0
2015-07-15,62.0
2015-07-16,63.0
2015-07-17,55.0
2015-07-18,51.0
2015-07-19,37.0
2015-07-20,77.0
2015-07-21,80.0
2015-07-22,65.0
2015-07-23,65.0
2015-07-24,65.0
2015-07-25,49.0
2015-07-26,56.0
2015-07-27,87.0
2015-07-28,54.0
2015-07-29,68.0
2015-07-30,62.0
2015-07-31,51.0
2015-08-01,44.0
2015-08-02,69.0
