date,electric vehicles
2015-01-01,0.0
2015-01-02,1.0
2015-01-03,1.0
2015-01-04,0.0
2015-01-05,1.0
2015-01-06,1.0
2015-01-07,1.0
2015-01-08,1.0
2015-01-09,1.0
2015-01-10,1.0
2015-01-11,1.0
2015-01-12,1.0
2015-01-13,1.0
2015-01-14,1.0
2015-01-15,1.0
2015-01-16,1.0
2015-01-17,1.0
2015-01-18,1.0
2015-01-19,1.0
2015-01-20,2.0
2015-01-21,1.0
2015-01-22,1.0
2015-01-23,1.0
2015-01-24,1.0
2015-01-25,1.0
2015-01-26,1.0
2015-01-27,1.0
2015-01-28,1.0
2015-01-29,1.0
2015-01-30,1.0
2015-01-31,1.0
2015-02-01,0.0
2015-02-02,1.0
2015-02-03,1.0
2015-02-04,1.0
2015-02-05,0.0
2015-02-06,0.0
2015-02-07,0.0
2015-02-08,1.0
2015-02-09,1.0
2015-03-20,1.0
2015-03-21,1.0
2015-03-22,0.0
2015-03-23,1.0
2015-03-24,1.0
2015-03-25,1.0
2015-03-26,1.0
2015-03-27,1.0
2015-03-28,0.0
2015-03-29,0.0
2015-03-30,1.0
2015-03-31,1.0
2015-04-01,0.0
2015-04-02,1.0
2015-04-03,1.0
2015-04-04,1.0
2015-04-05,0.0
2015-04-06,1.0
2015-04-07,1.0
2015-04-08,1.0
2015-04-09,1.0
2015-04-10,1.0
2015-04-11,1.0
2015-04-12,1.0
2015-04-13,1.0
2015-04-14,1.0
2015-04-15,1.0
2015-04-16,1.0
2015-04-17,0.0
2015-04-18,0.0
2015-04-19,1.0
2015-04-20,0.0
2015-04-21,1.0
2015-04-22,0.0
2015-04-23,1.0
2015-04-24,0.0
2015-04-25,1.0
2015-04-26,1.0
2015-04-27,1.0
2015-04-28,1.0
2015-04-29,1.0
2015-04-30,0.0
2015-05-01,1.0
2015-05-02,1.0
2015-05-03,0.0
2015-05-04,1.0
2015-05-05,0.0
2015-05-06,1.0
2015-05-07,1.0
2015-05-08,1.0
2015-05-09,0.0
2015-05-10,0.0
2015-05-11,1.0
2015-05-12,0.0
2015-05-13,1.0
2015-05-14,0.0
2015-05-15,1.0
2015-05-16,1.0
2015-05-17,1.0
2015-05-18,1.0
2015-05-19,1.0
2015-05-20,1.0
2015-05-21,1.0
2015-05-22,0.0
2015-05-23,0.0
2015-05-24,1.0
2015-05-25,0.0
2015-05-26,0.0
2015-05-27,0.0
2015-05-28,0.0
2015-05-29,1.0
2015-05-30,1.0
2015-05-31,0.0
2015-06-01,0.0
2015-06-02,0.0
2015-06-03,1.0
2015-06-04,1.0
2015-06-05,0.0
2015-06-06,0.0
2015-06-07,1.0
2015-06-08,0.0
2015-06-09,1.0
2015-06-10,0.0
2015-06-11,0.0
2015-06-12,1.0
2015-06-13,0.0
2015-06-14,1.0
2015-06-15,0.0
2015-06-16,1.0
2015-06-17,0.0
2015-06-18,1.0
2015-06-19,0.0
2015-06-20,0.0
2015-06-21,1.0
2015-06-22,0.0
2015-06-23,0.0
2015-06-24,1.0
2015-06-25,0.0
2015-06-26,1.0
2015-06-27,0.0
2015-06-28,1.0
2015-06-29,1.0
2015-06-30,1.0
2015-07-01,0.0
2015-07-02,1.0
2015-07-03,1.0
2015-07-04,1.0
2015-07-05,0.0
2015-07-06,1.0
2015-07-07,1.0
2015-07-08,1.0
2015-07-09,0.0
2015-07-10,0.0
2015-07-11,0.0
2015-07-12,1.0
2015-07-13,1.0
2015-07-14,0.0
2015-07-15,1.0
2015-07-16,1.0
2015-07-17,1.0
2015-07-18,0.0
2015-07-19,0.0
2015-07-20,1.0
2015-07-21,1.0
2015-07-22,0.0
2015-07-23,1.0
2015-07-24,1.0
2015-07-25,0.0
2015-07-26,0.0
