date,environmental protection agency adjusted
2015-01-01,0.0
2015-01-02,7.0
2015-01-03,13.0
2015-01-04,7.0
2015-01-05,3.0
2015-01-06,14.0
2015-01-07,6.0
2015-01-08,6.0
2015-01-09,9.0
2015-01-10,0.0
2015-01-11,3.0
2015-01-12,8.0
2015-01-13,11.0
2015-01-14,8.0
2015-01-15,14.0
2015-01-16,6.0
2015-01-17,3.0
2015-01-18,3.0
2015-01-19,8.0
2015-01-20,8.0
2015-01-21,3.0
2015-01-22,3.0
2015-01-23,23.0
2015-01-24,0.0
2015-01-25,7.0
2015-01-26,5.0
2015-01-27,14.0
2015-01-28,8.0
2015-01-29,14.0
2015-01-30,6.0
2015-01-31,7.0
2015-02-01,6.0
2015-02-02,5.0
2015-02-03,5.0
2015-02-04,14.0
2015-02-05,8.0
2015-02-06,11.0
2015-02-07,7.0
2015-02-08,10.0
2015-02-09,16.0
2015-02-10,16.0
2015-02-11,16.0
2015-02-12,5.0
2015-02-13,3.0
2015-02-14,7.0
2015-02-15,7.0
2015-02-16,6.0
2015-02-17,28.0
2015-02-18,3.0
2015-02-19,14.0
2015-02-20,3.0
2015-02-21,10.0
2015-02-22,3.0
2015-02-23,22.0
2015-02-24,5.0
2015-02-25,3.0
2015-02-26,19.0
2015-02-27,11.0
2015-02-28,8.0
2015-03-01,0.0
2015-03-02,7.0
2015-03-03,14.0
2015-03-04,7.0
2015-03-05,18.0
2015-03-06,23.0
2015-03-07,9.0
2015-03-08,0.0
2015-03-09,14.0
2015-03-10,11.0
2015-03-11,14.0
2015-03-12,18.0
2015-03-13,15.0
2015-03-14,4.0
2015-03-15,17.0
2015-03-16,14.0
2015-03-17,22.0
2015-03-18,18.0
2015-03-19,4.0
2015-03-20,26.0
2015-03-21,9.0
2015-03-22,8.0
2015-03-23,11.0
2015-03-24,32.0
2015-03-25,21.0
2015-03-26,12.0
2015-03-27,8.0
2015-03-28,9.0
2015-03-29,5.0
2015-03-30,25.0
2015-03-31,29.0
2015-04-01,15.0
2015-04-02,16.0
2015-04-03,16.0
2015-04-04,5.0
2015-04-05,9.0
2015-04-06,8.0
2015-04-07,14.0
2015-04-08,14.0
2015-04-09,25.0
2015-04-10,31.0
2015-04-11,13.0
2015-04-12,17.0
2015-04-13,22.0
2015-04-14,18.0
2015-04-15,11.0
2015-04-16,7.0
2015-04-17,23.0
2015-04-18,4.0
2015-04-19,0.0
2015-04-20,25.0
2015-04-21,22.0
2015-04-22,11.0
2015-04-23,19.0
2015-04-24,8.0
2015-04-25,4.0
2015-04-26,4.0
2015-04-27,33.0
2015-04-28,21.0
2015-04-29,29.0
2015-04-30,34.0
2015-05-01,31.0
2015-05-02,32.0
2015-05-03,6.0
2015-05-04,22.0
2015-05-05,27.0
2015-05-06,33.0
2015-05-07,16.0
2015-05-08,23.0
2015-05-09,13.0
2015-05-10,0.0
2015-05-11,16.0
2015-05-12,16.0
2015-05-13,38.0
2015-05-14,22.0
2015-05-15,17.0
2015-05-16,0.0
2015-05-17,26.0
2015-05-18,16.0
2015-05-19,27.0
2015-05-20,22.0
2015-05-21,22.0
2015-05-22,28.0
2015-05-23,6.0
2015-05-24,6.0
2015-05-25,17.0
2015-05-26,26.0
2015-05-27,38.0
2015-05-28,38.0
2015-05-29,6.0
2015-05-30,6.0
2015-05-31,19.0
2015-06-01,16.0
2015-06-02,27.0
2015-06-03,33.0
2015-06-04,11.0
2015-06-05,11.0
2015-06-06,19.0
2015-06-07,13.0
2015-06-08,5.0
2015-06-09,42.0
2015-06-10,32.0
2015-06-11,11.0
2015-06-12,28.0
2015-06-13,0.0
2015-06-14,0.0
2015-06-15,22.0
2015-06-16,26.0
2015-06-17,16.0
2015-06-18,16.0
2015-06-19,17.0
2015-06-20,7.0
2015-06-21,7.0
2015-06-22,5.0
2015-06-23,22.0
2015-06-24,11.0
2015-06-25,11.0
2015-06-26,17.0
2015-06-27,20.0
2015-06-28,0.0
2015-06-29,16.0
2015-06-30,33.0
2015-07-01,33.0
2015-07-02,56.0
2015-07-03,59.0
2015-07-04,14.0
2015-07-05,14.0
2015-07-06,55.0
2015-07-07,22.0
2015-07-08,55.0
2015-07-09,44.0
2015-07-10,0.0
2015-07-11,26.0
2015-07-12,26.0
2015-07-13,22.0
2015-07-14,33.0
2015-07-15,22.0
