date,environmental protection agency
2015-01-01,0
2015-01-02,23
2015-01-03,47
2015-01-04,23
2015-01-05,10
2015-01-06,51
2015-01-07,20
2015-01-08,20
2015-01-09,31
2015-01-10,0
2015-01-11,11
2015-01-12,29
2015-01-13,39
2015-01-14,29
2015-01-15,49
2015-01-16,20
2015-01-17,12
2015-01-18,11
2015-01-19,29
2015-01-20,29
2015-01-21,10
2015-01-22,10
2015-01-23,81
2015-01-24,0
2015-01-25,23
2015-01-26,19
2015-01-27,48
2015-01-28,29
2015-01-29,49
2015-01-30,20
2015-01-31,23
2015-02-01,22
2015-02-02,19
2015-02-03,19
2015-02-04,48
2015-02-05,29
2015-02-06,40
2015-02-07,23
2015-02-08,34
2015-02-09,58
2015-02-10,58
2015-02-11,58
2015-02-12,19
2015-02-13,10
2015-02-14,23
2015-02-15,23
2015-02-16,20
2015-02-17,100
2015-02-18,10
2015-02-19,49
2015-02-20,10
2015-02-21,34
2015-02-22,11
2015-02-23,76
2015-02-24,19
2015-02-25,9
2015-02-26,68
2015-02-27,30
2015-02-28,22
2015-03-01,0
2015-03-02,19
2015-03-03,38
2015-03-04,19
2015-03-05,48
2015-03-06,60
2015-03-07,23
2015-03-08,0
2015-03-09,38
2015-03-10,29
2015-03-11,38
2015-03-12,48
2015-03-13,40
2015-03-14,11
2015-03-15,44
2015-03-16,38
2015-03-17,57
2015-03-18,48
2015-03-19,10
2015-03-20,68
2015-03-21,23
2015-03-22,22
2015-03-23,28
2015-03-24,85
2015-03-25,56
2015-03-26,33
2015-03-27,20
2015-03-28,24
2015-03-29,12
2015-03-30,67
2015-03-31,77
2015-04-01,39
2015-04-02,41
2015-04-03,43
2015-04-04,12
2015-04-05,23
2015-04-06,20
2015-04-07,38
2015-04-08,38
2015-04-09,67
2015-04-10,81
2015-04-11,34
2015-04-12,46
2015-04-13,58
2015-04-14,47
2015-04-15,29
2015-04-16,19
2015-04-17,60
2015-04-18,11
2015-04-19,0
2015-04-20,66
2015-04-21,58
2015-04-22,29
2015-04-23,49
2015-04-24,20
2015-04-25,11
2015-04-26,11
2015-04-27,86
2015-04-28,56
2015-04-29,76
2015-04-30,60
2015-05-01,54
2015-05-02,57
2015-05-03,11
2015-05-04,38
2015-05-05,48
2015-05-06,58
2015-05-07,29
2015-05-08,41
2015-05-09,23
2015-05-10,0
2015-05-11,28
2015-05-12,28
2015-05-13,67
2015-05-14,39
2015-05-15,30
2015-05-16,0
2015-05-17,45
2015-05-18,28
2015-05-19,47
2015-05-20,38
2015-05-21,39
2015-05-22,50
2015-05-23,11
2015-05-24,11
2015-05-25,30
2015-05-26,46
2015-05-27,66
2015-05-28,67
2015-05-29,10
2015-05-30,11
2015-05-31,34
2015-06-01,28
2015-06-02,47
2015-06-03,58
2015-06-04,20
2015-06-05,20
2015-06-06,34
