date,fossil fuels
2015-01-01,6.0
2015-01-02,12.0
2015-01-03,10.0
2015-01-04,27.0
2015-01-05,18.0
2015-01-06,23.0
2015-01-07,29.0
2015-01-08,46.0
2015-01-09,55.0
2015-01-10,15.0
2015-01-11,22.0
2015-01-12,35.0
2015-01-13,44.0
2015-01-14,29.0
2015-01-15,33.0
2015-01-16,38.0
2015-01-17,6.0
2015-01-18,6.0
2015-01-19,29.0
2015-01-20,41.0
2015-01-21,34.0
2015-01-22,31.0
2015-01-23,30.0
2015-01-24,12.0
2015-01-25,23.0
2015-01-26,29.0
2015-01-27,32.0
2015-01-28,44.0
2015-01-29,39.0
2015-01-30,30.0
2015-01-31,16.0
2015-02-01,19.0
2015-02-02,51.0
2015-02-03,32.0
2015-02-04,39.0
2015-02-05,25.0
2015-02-06,39.0
2015-02-07,13.0
2015-02-08,15.0
2015-02-09,50.0
2015-02-10,30.0
2015-02-11,28.0
2015-02-12,52.0
2015-02-13,32.0
2015-02-14,8.0
2015-02-15,15.0
2015-02-16,13.0
2015-02-17,30.0
2015-02-18,29.0
2015-02-19,30.0
2015-02-20,23.0
2015-02-21,13.0
2015-02-22,23.0
2015-02-23,49.0
2015-02-24,37.0
2015-02-25,44.0
2015-02-26,45.0
2015-02-27,36.0
2015-02-28,13.0
2015-03-01,22.0
2015-03-02,32.0
2015-03-03,54.0
2015-03-04,44.0
2015-03-05,25.0
2015-03-06,26.0
2015-03-07,12.0
2015-03-08,20.0
2015-03-09,29.0
2015-03-10,36.0
2015-03-11,40.0
2015-03-12,42.0
2015-03-13,27.0
2015-03-14,13.0
2015-03-15,13.0
2015-03-16,53.0
2015-03-17,29.0
2015-03-18,37.0
2015-03-19,32.0
2015-03-20,32.0
2015-03-21,13.0
2015-03-22,22.0
2015-03-23,29.0
2015-03-24,37.0
2015-03-25,37.0
2015-03-26,32.0
2015-03-27,19.0
2015-03-28,9.0
2015-03-29,22.0
2015-03-30,33.0
2015-03-31,32.0
2015-04-01,38.0
2015-04-02,22.0
2015-04-03,20.0
2015-04-04,10.0
2015-04-05,7.0
2015-04-06,22.0
2015-04-07,22.0
2015-04-08,27.0
2015-04-09,34.0
2015-04-10,33.0
2015-04-11,16.0
2015-04-12,22.0
2015-04-13,32.0
2015-04-14,57.0
2015-04-15,32.0
2015-04-16,56.0
2015-04-17,43.0
2015-04-18,16.0
2015-04-19,24.0
2015-04-20,54.0
2015-04-21,57.0
2015-04-22,58.0
2015-04-23,48.0
2015-04-24,36.0
2015-04-25,12.0
2015-04-26,34.0
2015-04-27,47.0
2015-04-28,43.0
2015-04-29,43.0
2015-04-30,47.0
2015-05-01,34.0
2015-05-02,6.0
2015-05-03,19.0
2015-05-04,44.0
2015-05-05,51.0
2015-05-06,47.0
2015-05-07,48.0
2015-05-08,31.0
2015-05-09,20.0
2015-05-10,23.0
2015-05-11,37.0
2015-05-12,48.0
2015-05-13,42.0
2015-05-14,50.0
2015-05-15,44.0
2015-05-16,15.0
2015-05-17,16.0
2015-05-18,41.0
2015-05-19,42.0
2015-05-20,47.0
2015-05-21,41.0
2015-05-22,19.0
2015-05-23,12.0
2015-05-24,20.0
2015-05-25,23.0
2015-05-26,31.0
2015-05-27,40.0
2015-05-28,32.0
2015-05-29,30.0
2015-05-30,10.0
2015-05-31,26.0
2015-06-01,26.0
2015-06-02,40.0
2015-06-03,37.0
2015-06-04,30.0
2015-06-05,19.0
2015-06-06,12.0
2015-06-07,10.0
2015-06-08,39.0
2015-06-09,33.0
2015-06-10,16.0
2015-06-11,34.0
2015-06-12,23.0
2015-06-13,10.0
2015-06-14,22.0
2015-06-15,24.0
2015-06-16,27.0
2015-06-17,27.0
2015-06-18,18.0
2015-06-19,20.0
2015-06-20,8.0
2015-06-21,12.0
2015-06-22,24.0
2015-06-23,21.0
2015-06-24,21.0
2015-06-25,18.0
2015-06-26,13.0
2015-06-27,2.0
2015-06-28,27.0
2015-06-29,19.0
2015-06-30,11.0
2015-07-01,15.0
2015-07-02,7.0
2015-07-03,12.0
2015-07-04,13.0
2015-07-05,13.0
2015-07-06,15.0
2015-07-07,15.0
2015-07-08,16.0
2015-07-09,11.0
2015-07-10,15.0
2015-07-11,7.0
2015-07-12,13.0
2015-07-13,24.0
2015-07-14,12.0
2015-07-15,8.0
2015-07-16,16.0
2015-07-17,9.0
2015-07-18,9.0
2015-07-19,9.0
2015-07-20,15.0
2015-07-21,17.0
2015-07-22,11.0
2015-07-23,14.0
2015-07-24,10.0
2015-07-25,17.0
2015-07-26,10.0
2015-07-27,12.0
2015-07-28,14.0
2015-07-29,13.0
2015-07-30,12.0
2015-07-31,7.0
2015-08-01,6.0
2015-08-02,6.0
2015-08-03,13.0
2015-08-04,19.0
2015-08-05,17.0
2015-08-06,18.0
2015-08-07,9.0
2015-08-08,9.0
2015-08-09,17.0
2015-08-10,11.0
2015-08-11,16.0
2015-08-12,8.0
2015-08-13,13.0
2015-08-14,7.0
2015-08-15,11.0
2015-08-16,11.0
2015-08-17,9.0
2015-08-18,10.0
2015-08-19,15.0
2015-08-20,8.0
2015-08-21,14.0
2015-08-22,3.0
2015-08-23,12.0
2015-08-24,19.0
2015-08-25,11.0
2015-08-26,24.0
2015-08-27,17.0
2015-08-28,7.0
2015-08-29,4.0
2015-08-30,16.0
2015-08-31,13.0
2015-09-01,14.0
2015-09-02,22.0
2015-09-03,20.0
2015-09-04,14.0
2015-09-05,13.0
2015-09-06,13.0
2015-09-07,9.0
2015-09-08,22.0
2015-09-09,16.0
2015-09-10,19.0
2015-09-11,24.0
2015-09-12,12.0
2015-09-13,10.0
2015-09-14,28.0
2015-09-15,26.0
2015-09-16,27.0
2015-09-17,19.0
2015-09-18,19.0
2015-09-19,7.0
2015-09-20,23.0
2015-09-21,23.0
2015-09-22,24.0
2015-09-23,36.0
2015-09-24,18.0
2015-09-25,21.0
2015-09-26,11.0
2015-09-27,22.0
2015-09-28,27.0
2015-09-29,27.0
2015-09-30,32.0
2015-10-01,34.0
2015-10-02,12.0
2015-10-03,13.0
2015-10-04,11.0
2015-10-05,34.0
2015-10-06,43.0
2015-10-07,33.0
2015-10-08,34.0
2015-10-09,31.0
2015-10-10,13.0
2015-10-11,21.0
2015-10-12,28.0
2015-10-13,38.0
2015-10-14,33.0
2015-10-15,40.0
2015-10-16,19.0
2015-10-17,14.0
2015-10-18,19.0
2015-10-19,33.0
2015-10-20,36.0
2015-10-21,39.0
2015-10-22,27.0
2015-10-23,24.0
2015-10-24,17.0
2015-10-25,19.0
2015-10-26,22.0
2015-10-27,29.0
2015-10-28,32.0
2015-10-29,24.0
2015-10-30,23.0
2015-10-31,10.0
2015-11-01,29.0
2015-11-02,30.0
2015-11-03,32.0
2015-11-04,31.0
2015-11-05,45.0
2015-11-06,32.0
2015-11-07,15.0
2015-11-08,10.0
2015-11-09,49.0
2015-11-10,27.0
2015-11-11,26.0
2015-11-12,39.0
2015-11-13,35.0
2015-11-14,15.0
2015-11-15,23.0
2015-11-16,41.0
2015-11-17,35.0
2015-11-18,42.0
2015-11-19,31.0
2015-11-20,31.0
2015-11-21,14.0
2015-11-22,28.0
2015-11-23,27.0
2015-11-24,27.0
2015-11-25,21.0
2015-11-26,24.0
2015-11-27,10.0
2015-11-28,16.0
2015-11-29,19.0
2015-11-30,31.0
2015-12-01,45.0
2015-12-02,37.0
2015-12-03,42.0
2015-12-04,40.0
2015-12-05,9.0
2015-12-06,22.0
2015-12-07,49.0
2015-12-08,42.0
2015-12-09,48.0
2015-12-10,47.0
2015-12-11,36.0
2015-12-12,12.0
2015-12-13,26.0
2015-12-14,56.0
2015-12-15,47.0
2015-12-16,42.0
2015-12-17,26.0
2015-12-18,28.0
2015-12-19,13.0
2015-12-20,7.0
2015-12-21,8.0
2015-12-22,11.0
2015-12-23,4.0
2015-12-24,11.0
2015-12-25,6.0
2015-12-26,7.0
2015-12-27,8.0
2015-12-28,6.0
2015-12-29,4.0
2015-12-30,12.0
2015-12-31,4.0
2016-01-01,6.0
2016-01-02,15.0
2016-01-03,16.0
2016-01-04,17.0
2016-01-05,18.0
2016-01-06,23.0
2016-01-07,34.0
2016-01-08,18.0
2016-01-09,10.0
2016-01-10,21.0
2016-01-11,26.0
2016-01-12,43.0
2016-01-13,38.0
2016-01-14,30.0
2016-01-15,21.0
