date,fracking
2015-01-01,10.0
2015-01-02,8.0
2015-01-03,10.0
2015-01-04,8.0
2015-01-05,13.0
2015-01-06,20.0
2015-01-07,29.0
2015-01-08,19.0
2015-01-09,15.0
2015-01-10,13.0
2015-01-11,8.0
2015-01-12,14.0
2015-01-13,13.0
2015-01-14,18.0
2015-01-15,13.0
2015-01-16,12.0
2015-01-17,10.0
2015-01-18,9.0
2015-01-19,14.0
2015-01-20,13.0
2015-01-21,21.0
2015-01-22,11.0
2015-01-23,12.0
2015-01-24,11.0
2015-01-25,8.0
2015-01-26,16.0
2015-01-27,18.0
2015-01-28,26.0
2015-01-29,20.0
2015-01-30,14.0
2015-01-31,12.0
2015-02-01,10.0
2015-02-02,10.0
2015-02-03,10.0
2015-02-04,13.0
2015-02-05,13.0
2015-02-06,9.0
2015-02-07,7.0
2015-02-08,9.0
2015-02-09,10.0
2015-03-20,9.0
2015-03-21,6.0
2015-03-22,5.0
2015-03-23,7.0
2015-03-24,7.0
2015-03-25,5.0
2015-03-26,5.0
2015-03-27,5.0
2015-03-28,6.0
2015-03-29,6.0
2015-03-30,6.0
2015-03-31,7.0
2015-04-01,14.0
2015-04-02,14.0
2015-04-03,8.0
2015-04-04,7.0
2015-04-05,5.0
2015-04-06,7.0
2015-04-07,8.0
2015-04-08,8.0
2015-04-09,10.0
2015-04-10,9.0
2015-04-11,7.0
2015-04-12,4.0
2015-04-13,9.0
2015-04-14,8.0
2015-04-15,7.0
2015-04-16,7.0
2015-04-17,6.0
2015-04-18,5.0
2015-04-19,4.0
2015-04-20,7.0
2015-04-21,9.0
2015-04-22,9.0
2015-04-23,10.0
2015-04-24,10.0
2015-04-25,5.0
2015-04-26,6.0
2015-04-27,7.0
2015-04-28,7.0
2015-04-29,7.0
2015-04-30,6.0
2015-05-01,6.0
2015-05-02,5.0
2015-05-03,6.0
2015-05-04,10.0
2015-05-05,13.0
2015-05-06,10.0
2015-05-07,11.0
2015-05-08,10.0
2015-05-09,7.0
2015-05-10,8.0
2015-05-11,7.0
2015-05-12,6.0
2015-05-13,9.0
2015-05-14,4.0
2015-05-15,6.0
2015-05-16,4.0
2015-05-17,5.0
2015-05-18,6.0
2015-05-19,7.0
2015-05-20,7.0
2015-05-21,5.0
2015-05-22,7.0
2015-05-23,4.0
2015-05-24,7.0
2015-05-25,5.0
2015-05-26,6.0
2015-05-27,4.0
2015-05-28,5.0
2015-05-29,4.0
2015-05-30,4.0
2015-05-31,4.0
2015-06-01,7.0
2015-06-02,6.0
2015-06-03,7.0
2015-06-04,8.0
2015-06-05,10.0
2015-06-06,6.0
2015-06-07,5.0
2015-06-08,7.0
2015-06-09,8.0
2015-06-10,7.0
2015-06-11,5.0
2015-06-12,4.0
2015-06-13,5.0
2015-06-14,6.0
2015-06-15,7.0
2015-06-16,5.0
2015-06-17,6.0
2015-06-18,6.0
2015-06-19,4.0
2015-06-20,3.0
2015-06-21,4.0
2015-06-22,6.0
2015-06-23,7.0
2015-06-24,7.0
2015-06-25,5.0
2015-06-26,4.0
2015-06-27,3.0
2015-06-28,3.0
2015-06-29,7.0
2015-06-30,8.0
2015-07-01,6.0
2015-07-02,5.0
2015-07-03,4.0
2015-07-04,3.0
2015-07-05,3.0
2015-07-06,4.0
2015-07-07,3.0
2015-07-08,3.0
2015-07-09,3.0
2015-07-10,3.0
2015-07-11,3.0
2015-07-12,4.0
2015-07-13,2.0
2015-07-14,4.0
2015-07-15,4.0
2015-07-16,3.0
2015-07-17,3.0
2015-07-18,2.0
2015-07-19,4.0
2015-07-20,3.0
2015-07-21,3.0
2015-07-22,4.0
2015-07-23,3.0
2015-07-24,2.0
2015-07-25,3.0
2015-07-26,2.0
2015-07-27,3.0
2015-07-28,5.0
2015-07-29,3.0
2015-07-30,4.0
2015-07-31,3.0
2015-08-01,2.0
2015-08-02,2.0
2015-08-03,3.0
2015-08-04,4.0
2015-08-05,3.0
2015-08-06,3.0
2015-08-07,3.0
2015-08-08,3.0
2015-08-09,2.0
2015-08-10,3.0
2015-08-11,4.0
2015-08-12,4.0
2015-08-13,5.0
2015-08-14,4.0
2015-08-15,1.0
2015-08-16,3.0
2015-08-17,4.0
2015-08-18,8.0
2015-08-19,7.0
2015-08-20,6.0
2015-08-21,3.0
2015-08-22,3.0
2015-08-23,2.0
2015-08-24,4.0
2015-08-25,4.0
2015-08-26,5.0
2015-08-27,4.0
2015-08-28,2.0
2015-10-06,5.0
2015-10-07,7.0
2015-10-08,5.0
2015-10-09,4.0
2015-10-10,4.0
2015-10-11,4.0
2015-10-12,6.0
2015-10-13,9.0
2015-10-14,7.0
2015-10-15,7.0
2015-10-16,5.0
2015-10-17,6.0
2015-10-18,6.0
2015-10-19,5.0
2015-10-20,6.0
2015-10-21,6.0
2015-10-22,7.0
2015-10-23,6.0
2015-10-24,7.0
2015-10-25,9.0
2015-10-26,5.0
2015-10-27,6.0
2015-10-28,5.0
2015-10-29,9.0
2015-10-30,6.0
2015-10-31,2.0
2015-11-01,5.0
2015-11-02,7.0
2015-11-03,8.0
2015-11-04,7.0
2015-11-05,7.0
2015-11-06,8.0
