date,global warming
2015-01-01,30
2015-01-02,31
2015-01-03,36
2015-01-04,40
2015-01-05,54
2015-01-06,56
2015-01-07,56
2015-01-08,50
2015-01-09,58
2015-01-10,37
2015-01-11,34
2015-01-12,58
2015-01-13,70
2015-01-14,52
2015-01-15,67
2015-01-16,70
2015-01-17,43
2015-01-18,55
2015-01-19,56
2015-01-20,63
2015-01-21,74
2015-01-22,78
2015-01-23,56
2015-01-24,39
2015-01-25,56
2015-01-26,66
2015-01-27,77
2015-01-28,71
2015-01-29,71
2015-01-30,41
2015-01-31,39
2015-02-01,58
2015-02-02,57
2015-02-03,62
2015-02-04,72
2015-02-05,68
2015-02-06,56
2015-02-07,49
2015-02-08,69
2015-02-09,75
2015-02-10,53
2015-02-11,67
2015-02-12,72
2015-02-13,57
2015-02-14,47
2015-02-15,65
2015-02-16,68
2015-02-17,66
2015-02-18,81
2015-02-19,76
2015-02-20,65
2015-02-21,50
2015-02-22,54
2015-02-23,71
2015-02-24,89
2015-02-25,77
2015-02-26,76
2015-02-27,61
2015-02-28,51
2015-03-01,62
2015-03-02,80
2015-03-03,85
2015-03-04,80
2015-03-05,82
2015-03-06,67
2015-03-07,43
2015-03-08,63
2015-03-09,72
2015-03-10,86
2015-03-11,86
2015-03-12,75
2015-03-13,65
2015-03-14,49
2015-03-15,52
2015-03-16,64
2015-03-17,72
2015-03-18,68
2015-03-19,57
2015-03-20,54
2015-03-21,36
2015-03-22,46
2015-03-23,78
2015-03-24,73
2015-03-25,81
2015-03-26,75
2015-03-27,47
2015-03-28,26
2015-03-29,43
2015-03-30,51
2015-03-31,56
2015-04-01,59
2015-04-02,46
2015-04-03,40
2015-04-04,28
2015-04-05,30
2015-04-06,47
2015-04-07,57
2015-04-08,58
2015-04-09,67
2015-04-10,52
2015-04-11,29
2015-04-12,57
2015-04-13,66
2015-04-14,60
2015-04-15,69
2015-04-16,76
2015-04-17,70
2015-04-18,28
2015-04-19,61
2015-04-20,72
2015-04-21,77
2015-04-22,100
2015-04-23,91
2015-04-24,73
2015-04-25,49
2015-04-26,63
2015-04-27,78
2015-04-28,82
2015-04-29,77
2015-04-30,58
2015-05-01,68
2015-05-02,44
2015-05-03,50
2015-05-04,70
2015-05-05,79
2015-05-06,71
2015-05-07,84
2015-05-08,65
2015-05-09,38
2015-05-10,42
2015-05-11,77
2015-05-12,84
2015-05-13,68
2015-05-14,65
2015-05-15,54
2015-05-16,46
2015-05-17,57
2015-05-18,74
2015-05-19,72
2015-05-20,85
2015-05-21,80
2015-05-22,65
2015-05-23,35
2015-05-24,48
2015-05-25,55
2015-05-26,76
2015-05-27,74
2015-05-28,67
2015-05-29,61
2015-05-30,41
2015-05-31,56
2015-06-01,71
2015-06-02,53
2015-06-03,79
2015-06-04,61
2015-06-05,72
2015-06-06,33
2015-06-07,51
2015-06-08,55
2015-06-09,51
2015-06-10,63
2015-06-11,52
2015-06-12,49
2015-06-13,40
2015-06-14,40
2015-06-15,44
2015-06-16,44
2015-06-17,45
2015-06-18,46
2015-06-19,52
2015-06-20,49
2015-06-21,41
2015-06-22,55
2015-06-23,50
