date,greenhouse gas
2015-01-01,10.0
2015-01-02,18.0
2015-01-03,3.0
2015-01-04,18.0
2015-01-05,8.0
2015-01-06,29.0
2015-01-07,23.0
2015-01-08,18.0
2015-01-09,11.0
2015-01-10,12.0
2015-01-11,15.0
2015-01-12,20.0
2015-01-13,10.0
2015-01-14,31.0
2015-01-15,33.0
2015-01-16,16.0
2015-01-17,18.0
2015-01-18,24.0
2015-01-19,23.0
2015-01-20,18.0
2015-01-21,30.0
2015-01-22,23.0
2015-01-23,27.0
2015-01-24,12.0
2015-01-25,15.0
2015-01-26,20.0
2015-01-27,33.0
2015-01-28,28.0
2015-01-29,26.0
2015-01-30,13.0
2015-01-31,12.0
2015-02-01,0.0
2015-02-02,15.0
2015-02-03,28.0
2015-02-04,23.0
2015-02-05,33.0
2015-02-06,21.0
2015-02-07,24.0
2015-02-08,15.0
2015-02-09,23.0
2015-03-20,15.0
2015-03-21,5.0
2015-03-22,5.0
2015-03-23,9.0
2015-03-24,4.0
2015-03-25,8.0
2015-03-26,8.0
2015-03-27,10.0
2015-03-28,4.0
2015-03-29,2.0
2015-03-30,8.0
2015-03-31,12.0
2015-04-01,4.0
2015-04-02,10.0
2015-04-03,6.0
2015-04-04,7.0
2015-04-05,3.0
2015-04-06,9.0
2015-04-07,11.0
2015-04-08,7.0
2015-04-09,11.0
2015-04-10,16.0
2015-04-11,0.0
2015-04-12,9.0
2015-04-13,8.0
2015-04-14,16.0
2015-04-15,9.0
2015-04-16,5.0
2015-04-17,11.0
2015-04-18,5.0
2015-04-19,9.0
2015-04-20,10.0
2015-04-21,16.0
2015-04-22,14.0
2015-04-23,8.0
2015-04-24,10.0
2015-04-25,6.0
2015-04-26,7.0
2015-04-27,13.0
2015-04-28,7.0
2015-04-29,13.0
2015-04-30,10.0
2015-05-01,4.0
2015-05-02,2.0
2015-05-03,8.0
2015-05-04,12.0
2015-05-05,15.0
2015-05-06,13.0
2015-05-07,14.0
2015-05-08,11.0
2015-05-09,5.0
2015-05-10,8.0
2015-05-11,12.0
2015-05-12,8.0
2015-05-13,5.0
2015-05-14,8.0
2015-05-15,8.0
2015-05-16,5.0
2015-05-17,7.0
2015-05-18,6.0
2015-05-19,7.0
2015-05-20,6.0
2015-05-21,9.0
2015-05-22,6.0
2015-05-23,4.0
2015-05-24,4.0
2015-05-25,5.0
2015-05-26,6.0
2015-05-27,8.0
2015-05-28,12.0
2015-05-29,4.0
2015-05-30,3.0
2015-05-31,8.0
2015-06-01,4.0
2015-06-02,7.0
2015-06-03,8.0
2015-06-04,10.0
2015-06-05,4.0
2015-06-06,2.0
2015-06-07,5.0
2015-06-08,7.0
2015-06-09,8.0
2015-06-10,8.0
2015-06-11,6.0
2015-06-12,12.0
2015-06-13,4.0
2015-06-14,7.0
2015-06-15,7.0
2015-06-16,7.0
2015-06-17,8.0
2015-06-18,6.0
2015-06-19,7.0
2015-06-20,0.0
2015-06-21,4.0
2015-06-22,5.0
2015-06-23,2.0
2015-06-24,9.0
2015-06-25,8.0
2015-06-26,6.0
2015-06-27,2.0
2015-06-28,4.0
2015-06-29,6.0
2015-06-30,8.0
2015-07-01,3.0
2015-07-02,4.0
2015-07-03,2.0
2015-07-04,3.0
2015-07-05,5.0
2015-07-06,2.0
2015-07-07,0.0
2015-07-08,3.0
2015-07-09,4.0
2015-07-10,2.0
2015-07-11,0.0
2015-07-12,2.0
2015-07-13,5.0
2015-07-14,7.0
2015-07-15,8.0
2015-07-16,5.0
2015-07-17,4.0
2015-07-18,2.0
2015-07-19,7.0
2015-07-20,8.0
2015-07-21,10.0
2015-07-22,8.0
2015-07-23,3.0
2015-07-24,7.0
2015-07-25,2.0
2015-07-26,6.0
2015-07-27,7.0
2015-07-28,4.0
2015-07-29,2.0
2015-07-30,8.0
2015-07-31,4.0
2015-08-01,2.0
2015-08-02,5.0
2015-08-03,7.0
2015-08-04,5.0
2015-08-05,5.0
2015-08-06,10.0
2015-08-07,4.0
2015-08-08,3.0
2015-08-09,4.0
2015-08-10,6.0
2015-08-11,2.0
2015-08-12,5.0
2015-08-13,8.0
2015-08-14,2.0
2015-08-15,2.0
2015-08-16,6.0
2015-08-17,2.0
2015-08-18,4.0
2015-08-19,4.0
2015-08-20,3.0
2015-08-21,8.0
2015-08-22,2.0
2015-08-23,5.0
2015-08-24,6.0
2015-08-25,6.0
2015-08-26,4.0
2015-08-27,8.0
2015-08-28,3.0
2015-10-06,4.0
2015-10-07,6.0
2015-10-08,6.0
2015-10-09,7.0
2015-10-10,2.0
2015-10-11,5.0
2015-10-12,7.0
2015-10-13,9.0
2015-10-14,9.0
2015-10-15,8.0
2015-10-16,11.0
2015-10-17,2.0
2015-10-18,4.0
2015-10-19,8.0
2015-10-20,6.0
2015-10-21,9.0
2015-10-22,11.0
2015-10-23,7.0
2015-10-24,6.0
2015-10-25,6.0
2015-10-26,9.0
2015-10-27,11.0
2015-10-28,12.0
2015-10-29,11.0
2015-10-30,8.0
2015-10-31,3.0
2015-11-01,4.0
2015-11-02,7.0
2015-11-03,11.0
2015-11-04,10.0
2015-11-05,9.0
2015-11-06,12.0
2015-11-07,3.0
2015-11-08,14.0
2015-11-09,13.0
2015-11-10,9.0
2015-11-11,11.0
2015-11-12,12.0
2015-11-13,7.0
2015-11-14,3.0
2015-11-15,5.0
2015-11-16,9.0
2015-11-17,7.0
2015-11-18,6.0
2015-11-19,9.0
2015-11-20,8.0
2015-11-21,4.0
2015-11-22,11.0
2015-11-23,9.0
2015-11-24,8.0
2015-11-25,4.0
2015-11-26,6.0
2015-11-27,3.0
2015-11-28,4.0
2015-11-29,9.0
2015-11-30,15.0
2015-12-01,13.0
2015-12-02,12.0
2015-12-03,8.0
2015-12-04,11.0
2015-12-05,6.0
2015-12-06,7.0
2015-12-07,7.0
2015-12-08,9.0
2015-12-09,14.0
2015-12-10,9.0
2015-12-11,9.0
2015-12-12,7.0
2015-12-13,11.0
2015-12-14,16.0
2015-12-15,9.0
2015-12-16,7.0
2015-12-17,9.0
2015-12-18,12.0
2015-12-19,2.0
2015-12-20,5.0
2015-12-21,5.0
2015-12-22,9.0
2015-12-23,4.0
