date,oil
2015-01-01,27.0
2015-01-02,34.0
2015-01-03,34.0
2015-01-04,32.0
2015-01-05,39.0
2015-01-06,42.0
2015-01-07,40.0
2015-01-08,38.0
2015-01-09,34.0
2015-01-10,34.0
2015-01-11,34.0
2015-01-12,37.0
2015-01-13,39.0
2015-01-14,37.0
2015-01-15,38.0
2015-01-16,36.0
2015-01-17,36.0
2015-01-18,32.0
2015-01-19,38.0
2015-01-20,38.0
2015-01-21,37.0
2015-01-22,36.0
2015-01-23,37.0
2015-01-24,35.0
2015-01-25,33.0
2015-01-26,36.0
2015-01-27,35.0
2015-01-28,35.0
2015-01-29,36.0
2015-01-30,34.0
2015-01-31,34.0
2015-02-01,33.0
2015-02-02,36.0
2015-02-03,39.0
2015-02-04,38.0
2015-02-05,37.0
2015-02-06,35.0
2015-02-07,34.0
2015-02-08,32.0
2015-02-09,36.0
2015-02-10,36.0
2015-02-11,36.0
2015-02-12,35.0
2015-02-13,33.0
2015-02-14,31.0
2015-02-15,31.0
2015-02-16,36.0
2015-02-17,35.0
2015-02-18,36.0
2015-02-19,34.0
2015-02-20,35.0
2015-02-21,33.0
2015-02-22,31.0
2015-02-23,34.0
2015-02-24,36.0
2015-02-25,35.0
2015-02-26,35.0
2015-02-27,31.0
2015-02-28,33.0
2015-03-01,32.0
2015-03-02,34.0
2015-03-03,34.0
2015-03-04,34.0
2015-03-05,33.0
2015-03-06,32.0
2015-03-07,33.0
2015-03-08,34.0
2015-03-09,34.0
2015-03-10,33.0
2015-03-11,34.0
2015-03-12,33.0
2015-03-13,33.0
2015-03-14,33.0
2015-03-15,33.0
2015-03-16,37.0
2015-03-17,35.0
2015-03-18,34.0
2015-03-19,33.0
2015-03-20,33.0
2015-03-21,31.0
2015-03-22,32.0
2015-03-23,35.0
2015-03-24,34.0
2015-03-25,31.0
2015-03-26,33.0
2015-03-27,34.0
2015-03-28,31.0
2015-03-29,30.0
2015-03-30,33.0
2015-03-31,33.0
2015-04-01,35.0
2015-04-02,34.0
2015-04-03,33.0
2015-04-04,33.0
2015-04-05,31.0
2015-04-06,34.0
2015-04-07,34.0
2015-04-08,34.0
2015-04-09,34.0
2015-04-10,33.0
2015-04-11,33.0
2015-04-12,33.0
2015-04-13,34.0
2015-04-14,33.0
2015-04-15,34.0
2015-04-16,34.0
2015-04-17,33.0
2015-04-18,32.0
2015-04-19,32.0
2015-04-20,35.0
2015-04-21,35.0
2015-04-22,34.0
2015-04-23,34.0
2015-04-24,32.0
2015-04-25,31.0
2015-04-26,31.0
2015-04-27,33.0
2015-04-28,32.0
2015-04-29,32.0
2015-04-30,32.0
2015-05-01,31.0
2015-05-02,30.0
2015-05-03,29.0
2015-05-04,31.0
2015-05-05,34.0
2015-05-06,33.0
2015-05-07,32.0
2015-05-08,32.0
2015-05-09,31.0
2015-05-10,30.0
2015-05-11,32.0
2015-05-12,31.0
2015-05-13,33.0
2015-05-14,31.0
2015-05-15,32.0
2015-05-16,31.0
2015-05-17,31.0
2015-05-18,32.0
2015-05-19,33.0
