date,oil
2015-01-01,64
2015-01-02,78
2015-01-03,80
2015-01-04,75
2015-01-05,89
2015-01-06,100
2015-01-07,97
2015-01-08,88
2015-01-09,86
2015-01-10,76
2015-01-11,79
2015-01-12,86
2015-01-13,93
2015-01-14,90
2015-01-15,91
2015-01-16,86
2015-01-17,84
2015-01-18,77
2015-01-19,89
2015-01-20,88
2015-01-21,88
2015-01-22,85
2015-01-23,88
2015-01-24,77
2015-01-25,75
2015-01-26,81
2015-01-27,83
2015-01-28,82
2015-01-29,81
2015-01-30,79
2015-01-31,82
2015-02-01,76
2015-02-02,83
2015-02-03,90
2015-02-04,93
2015-02-05,90
2015-02-06,84
2015-02-07,77
2015-02-08,76
2015-02-09,84
2015-02-10,85
2015-02-11,83
2015-02-12,79
2015-02-13,75
2015-02-14,73
2015-02-15,72
2015-02-16,83
2015-02-17,83
2015-02-18,81
2015-02-19,78
2015-02-20,80
2015-02-21,77
2015-02-22,73
2015-02-23,80
2015-02-24,82
2015-02-25,82
2015-02-26,78
2015-02-27,78
2015-02-28,76
2015-03-01,75
2015-03-02,79
2015-03-03,81
2015-03-04,78
2015-03-05,76
2015-03-06,71
2015-03-07,74
2015-03-08,74
2015-03-09,79
2015-03-10,79
2015-03-11,78
2015-03-12,77
2015-03-13,78
2015-03-14,78
2015-03-15,75
2015-03-16,85
2015-03-17,80
2015-03-18,83
2015-03-19,78
2015-03-20,76
2015-03-21,78
2015-03-22,75
2015-03-23,81
2015-03-24,78
2015-03-25,73
2015-03-26,76
2015-03-27,78
2015-03-28,74
2015-03-29,73
2015-03-30,80
2015-03-31,78
2015-04-01,80
2015-04-02,80
2015-04-03,77
2015-04-04,76
2015-04-05,69
2015-04-06,81
2015-04-07,78
2015-04-08,79
2015-04-09,79
2015-04-10,79
2015-04-11,77
2015-04-12,77
2015-04-13,80
2015-04-14,76
2015-04-15,80
2015-04-16,81
2015-04-17,80
2015-04-18,76
2015-04-19,77
2015-04-20,79
2015-04-21,79
2015-04-22,79
2015-04-23,77
2015-04-24,75
2015-04-25,73
2015-04-26,72
2015-04-27,78
2015-04-28,73
2015-04-29,77
2015-04-30,75
2015-05-01,75
2015-05-02,70
2015-05-03,68
2015-05-04,75
2015-05-05,76
2015-05-06,79
2015-05-07,78
2015-05-08,74
2015-05-09,71
2015-05-10,71
2015-05-11,77
2015-05-12,73
2015-05-13,77
2015-05-14,74
2015-05-15,76
2015-05-16,75
2015-05-17,73
2015-05-18,75
2015-05-19,77
2015-05-20,80
2015-05-21,79
2015-05-22,76
2015-05-23,71
2015-05-24,70
2015-05-25,74
2015-05-26,73
2015-05-27,73
2015-05-28,73
2015-05-29,70
