date,renewable
2015-01-01,8.0
2015-01-02,14.0
2015-01-03,8.0
2015-01-04,10.0
2015-01-05,23.0
2015-01-06,22.0
2015-01-07,24.0
2015-01-08,24.0
2015-01-09,21.0
2015-01-10,13.0
2015-01-11,16.0
2015-01-12,21.0
2015-01-13,28.0
2015-01-14,27.0
2015-01-15,22.0
2015-01-16,18.0
2015-01-17,9.0
2015-01-18,12.0
2015-01-19,17.0
2015-01-20,20.0
2015-01-21,26.0
2015-01-22,28.0
2015-01-23,22.0
2015-01-24,11.0
2015-01-25,15.0
2015-01-26,22.0
2015-01-27,29.0
2015-01-28,26.0
2015-01-29,27.0
2015-01-30,19.0
2015-01-31,13.0
2015-02-01,13.0
2015-02-02,22.0
2015-02-03,30.0
2015-02-04,30.0
2015-02-05,24.0
2015-02-06,21.0
2015-02-07,13.0
2015-02-08,12.0
2015-02-09,25.0
2015-02-10,28.0
2015-02-11,23.0
2015-02-12,24.0
2015-02-13,19.0
2015-02-14,12.0
2015-02-15,12.0
2015-02-16,21.0
2015-02-17,24.0
2015-02-18,25.0
2015-02-19,24.0
2015-02-20,22.0
2015-02-21,11.0
2015-02-22,15.0
2015-02-23,24.0
2015-02-24,31.0
2015-02-25,24.0
2015-02-26,22.0
2015-02-27,21.0
2015-02-28,14.0
2015-03-01,16.0
2015-03-02,32.0
2015-03-03,20.0
2015-03-04,25.0
2015-03-05,24.0
2015-03-06,26.0
2015-03-07,10.0
2015-03-08,15.0
2015-03-09,25.0
2015-03-10,27.0
2015-03-11,24.0
2015-03-12,26.0
2015-03-13,22.0
2015-03-14,9.0
2015-03-15,13.0
2015-03-16,26.0
2015-03-17,28.0
2015-03-18,27.0
2015-03-19,20.0
2015-03-20,23.0
2015-03-21,14.0
2015-03-22,15.0
2015-03-23,25.0
2015-03-24,29.0
2015-03-25,29.0
2015-03-26,29.0
2015-03-27,24.0
2015-03-28,10.0
2015-03-29,18.0
2015-03-30,22.0
2015-03-31,26.0
2015-04-01,21.0
2015-04-02,21.0
2015-04-03,15.0
2015-04-04,10.0
2015-04-05,15.0
2015-04-06,22.0
2015-04-07,25.0
2015-04-08,21.0
2015-04-09,25.0
2015-04-10,19.0
2015-04-11,11.0
2015-04-12,16.0
2015-04-13,24.0
2015-04-14,33.0
2015-04-15,26.0
2015-04-16,26.0
2015-04-17,22.0
2015-04-18,11.0
2015-04-19,19.0
2015-04-20,28.0
2015-04-21,29.0
2015-04-22,29.0
2015-04-23,32.0
2015-04-24,22.0
2015-04-25,10.0
2015-04-26,17.0
2015-04-27,32.0
2015-04-28,27.0
2015-04-29,29.0
2015-04-30,32.0
2015-05-01,25.0
2015-05-02,12.0
2015-05-03,13.0
2015-05-04,25.0
2015-05-05,30.0
2015-05-06,28.0
2015-05-07,23.0
2015-05-08,25.0
2015-05-09,11.0
2015-05-10,13.0
2015-05-11,30.0
2015-05-12,27.0
2015-05-13,24.0
2015-05-14,25.0
2015-05-15,26.0
2015-05-16,12.0
2015-05-17,16.0
2015-05-18,28.0
2015-05-19,26.0
2015-05-20,27.0
2015-05-21,28.0
2015-05-22,24.0
2015-05-23,10.0
2015-05-24,12.0
2015-05-25,20.0
2015-05-26,22.0
2015-05-27,26.0
2015-05-28,21.0
2015-05-29,20.0
2015-05-30,10.0
2015-05-31,17.0
2015-06-01,22.0
2015-06-02,24.0
2015-06-03,24.0
2015-06-04,24.0
2015-06-05,21.0
2015-06-06,10.0
2015-06-07,11.0
2015-06-08,24.0
2015-06-09,22.0
2015-06-10,21.0
2015-06-11,19.0
2015-06-12,16.0
2015-06-13,11.0
2015-06-14,15.0
2015-06-15,21.0
2015-06-16,19.0
2015-06-17,22.0
2015-06-18,19.0
2015-06-19,18.0
2015-06-20,9.0
2015-06-21,16.0
2015-06-22,17.0
2015-06-23,20.0
2015-06-24,21.0
2015-06-25,22.0
2015-06-26,13.0
2015-06-27,13.0
2015-06-28,11.0
2015-06-29,19.0
2015-06-30,16.0
2015-07-01,19.0
2015-07-02,19.0
2015-07-03,11.0
2015-07-04,8.0
2015-07-05,11.0
2015-07-06,19.0
2015-07-07,15.0
2015-07-08,19.0
2015-07-09,15.0
2015-07-10,13.0
2015-07-11,6.0
2015-07-12,10.0
2015-07-13,14.0
2015-07-14,17.0
2015-07-15,20.0
2015-07-16,17.0
2015-07-17,16.0
2015-07-18,8.0
2015-07-19,13.0
2015-07-20,15.0
2015-07-21,18.0
2015-07-22,19.0
2015-07-23,15.0
2015-07-24,17.0
2015-07-25,12.0
2015-07-26,8.0
2015-07-27,20.0
2015-07-28,21.0
2015-07-29,27.0
2015-07-30,24.0
2015-07-31,17.0
2015-08-01,12.0
2015-08-02,14.0
2015-08-03,26.0
2015-08-04,30.0
2015-08-05,21.0
2015-08-06,24.0
2015-08-07,21.0
2015-08-08,16.0
2015-08-09,20.0
2015-08-10,22.0
2015-08-11,27.0
2015-08-12,29.0
2015-08-13,27.0
2015-08-14,16.0
2015-08-15,15.0
2015-08-16,9.0
2015-08-17,26.0
2015-08-18,30.0
2015-08-19,26.0
2015-08-20,31.0
2015-08-21,23.0
2015-08-22,8.0
2015-08-23,19.0
2015-08-24,30.0
2015-08-25,27.0
2015-08-26,23.0
2015-08-27,26.0
2015-08-28,24.0
2015-08-29,15.0
2015-08-30,16.0
2015-08-31,30.0
2015-09-01,28.0
2015-09-02,37.0
2015-09-03,35.0
2015-09-04,24.0
2015-09-05,13.0
2015-09-06,13.0
2015-09-07,29.0
2015-09-08,31.0
2015-09-09,32.0
2015-09-10,32.0
2015-09-11,37.0
2015-09-12,13.0
2015-09-13,18.0
2015-09-14,40.0
2015-09-15,28.0
2015-09-16,38.0
2015-09-17,32.0
2015-09-18,21.0
2015-09-19,15.0
2015-09-20,21.0
2015-09-21,33.0
2015-09-22,36.0
2015-09-23,31.0
2015-09-24,34.0
2015-09-25,29.0
2015-09-26,11.0
2015-09-27,19.0
2015-09-28,27.0
2015-09-29,29.0
2015-09-30,38.0
2015-10-01,30.0
2015-10-02,26.0
2015-10-03,16.0
2015-10-04,21.0
2015-10-05,36.0
2015-10-06,41.0
2015-10-07,38.0
2015-10-08,37.0
2015-10-09,27.0
2015-10-10,15.0
2015-10-11,24.0
2015-10-12,31.0
2015-10-13,30.0
2015-10-14,31.0
2015-10-15,39.0
2015-10-16,30.0
2015-10-17,17.0
2015-10-18,23.0
2015-10-19,35.0
2015-10-20,44.0
2015-10-21,38.0
2015-10-22,36.0
2015-10-23,31.0
2015-10-24,16.0
2015-10-25,12.0
2015-10-26,36.0
2015-10-27,37.0
2015-10-28,36.0
2015-10-29,33.0
2015-10-30,22.0
2015-10-31,14.0
2015-11-01,26.0
2015-11-02,40.0
2015-11-03,42.0
2015-11-04,35.0
2015-11-05,36.0
2015-11-06,36.0
2015-11-07,18.0
2015-11-08,16.0
2015-11-09,35.0
2015-11-10,35.0
2015-11-11,30.0
2015-11-12,38.0
2015-11-13,31.0
2015-11-14,13.0
2015-11-15,23.0
2015-11-16,35.0
2015-11-17,43.0
2015-11-18,38.0
2015-11-19,37.0
2015-11-20,32.0
2015-11-21,16.0
2015-11-22,21.0
2015-11-23,26.0
2015-11-24,37.0
2015-11-25,35.0
2015-11-26,27.0
2015-11-27,23.0
2015-11-28,15.0
2015-11-29,28.0
2015-11-30,36.0
2015-12-01,47.0
2015-12-02,40.0
2015-12-03,47.0
2015-12-04,37.0
2015-12-05,15.0
2015-12-06,21.0
2015-12-07,53.0
2015-12-08,42.0
2015-12-09,43.0
2015-12-10,39.0
2015-12-11,32.0
2015-12-12,15.0
2015-12-13,22.0
2015-12-14,38.0
2015-12-15,35.0
2015-12-16,40.0
2015-12-17,38.0
2015-12-18,22.0
2015-12-19,13.0
2015-12-20,18.0
2015-12-21,20.0
2015-12-22,20.0
2015-12-23,19.0
2015-12-24,19.0
2015-12-25,8.0
2015-12-26,9.0
2015-12-27,10.0
2015-12-28,18.0
2015-12-29,12.0
2015-12-30,14.0
2015-12-31,15.0
2016-01-01,15.0
2016-01-02,15.0
2016-01-03,19.0
2016-01-04,28.0
2016-01-05,30.0
2016-01-06,31.0
2016-01-07,40.0
2016-01-08,25.0
2016-01-09,20.0
2016-01-10,20.0
2016-01-11,28.0
2016-01-12,37.0
2016-01-13,33.0
2016-01-14,39.0
2016-01-15,23.0
2016-01-16,14.0
2016-01-17,17.0
2016-01-18,31.0
2016-01-19,35.0
2016-01-20,38.0
2016-01-21,38.0
2016-01-22,29.0
2016-01-23,20.0
2016-01-24,21.0
2016-01-25,34.0
2016-01-26,36.0
2016-01-27,37.0
2016-01-28,36.0
2016-01-29,30.0
2016-01-30,20.0
2016-01-31,21.0
2016-02-01,34.0
2016-02-02,40.0
2016-02-03,39.0
2016-02-04,40.0
2016-02-05,29.0
2016-02-06,20.0
2016-02-07,20.0
2016-02-08,35.0
2016-02-09,45.0
2016-02-10,34.0
2016-02-11,37.0
2016-02-12,31.0
2016-02-13,18.0
2016-02-14,14.0
2016-02-15,33.0
2016-02-16,34.0
2016-02-17,41.0
2016-02-18,35.0
2016-02-19,36.0
2016-02-20,21.0
2016-02-21,18.0
2016-02-22,43.0
2016-02-23,40.0
2016-02-24,37.0
2016-02-25,33.0
2016-02-26,26.0
2016-02-27,16.0
2016-02-28,22.0
2016-02-29,39.0
2016-03-01,45.0
2016-03-02,33.0
2016-03-03,36.0
2016-03-04,31.0
2016-03-05,16.0
2016-03-06,25.0
2016-03-07,37.0
2016-03-08,36.0
2016-03-09,37.0
2016-03-10,42.0
2016-03-11,37.0
2016-03-12,18.0
2016-03-13,22.0
2016-03-14,42.0
2016-03-15,55.0
2016-03-16,49.0
2016-03-17,42.0
2016-03-18,33.0
2016-03-19,24.0
2016-03-20,29.0
2016-03-21,48.0
2016-03-22,37.0
2016-03-23,49.0
2016-03-24,34.0
2016-03-25,23.0
2016-03-26,22.0
2016-03-27,27.0
2016-03-28,39.0
2016-03-29,40.0
2016-03-30,42.0
2016-03-31,43.0
2016-04-01,40.0
2016-04-02,31.0
2016-04-03,23.0
2016-04-04,47.0
2016-04-05,55.0
2016-04-06,57.0
2016-04-07,54.0
2016-04-08,48.0
2016-04-09,27.0
2016-04-10,40.0
2016-04-11,56.0
2016-04-12,55.0
2016-04-13,49.0
2016-04-14,55.0
2016-04-15,51.0
2016-04-16,24.0
2016-04-17,24.0
2016-04-18,54.0
2016-04-19,53.0
2016-04-20,65.0
2016-04-21,60.0
2016-04-22,51.0
2016-04-23,23.0
2016-04-24,29.0
2016-04-25,52.0
2016-04-26,57.0
2016-04-27,63.0
2016-04-28,62.0
2016-04-29,47.0
2016-04-30,19.0
2016-05-01,35.0
2016-05-02,43.0
2016-05-03,51.0
2016-05-04,51.0
2016-05-05,53.0
2016-05-06,35.0
2016-05-07,31.0
2016-05-08,26.0
2016-05-09,56.0
2016-05-10,69.0
2016-05-11,59.0
2016-05-12,49.0
2016-05-13,39.0
2016-05-14,26.0
2016-05-15,32.0
2016-05-16,53.0
2016-05-17,60.0
2016-05-18,57.0
2016-05-19,54.0
2016-05-20,44.0
2016-05-21,23.0
2016-05-22,25.0
2016-05-23,50.0
2016-05-24,59.0
2016-05-25,51.0
2016-05-26,50.0
2016-05-27,37.0
2016-05-28,19.0
2016-05-29,30.0
2016-05-30,38.0
2016-05-31,45.0
2016-06-01,46.0
2016-06-02,45.0
2016-06-03,33.0
2016-06-04,26.0
2016-06-05,28.0
2016-06-06,58.0
2016-06-07,54.0
2016-06-08,42.0
2016-06-09,41.0
2016-06-10,35.0
2016-06-11,20.0
2016-06-12,30.0
2016-06-13,40.0
2016-06-14,43.0
2016-06-15,40.0
2016-06-16,43.0
2016-06-17,37.0
2016-06-18,21.0
2016-06-19,29.0
2016-06-20,34.0
2016-06-21,40.0
2016-06-22,40.0
2016-06-23,40.0
2016-06-24,29.0
2016-06-25,23.0
2016-06-26,22.0
2016-06-27,39.0
2016-06-28,42.0
2016-06-29,36.0
2016-06-30,33.0
2016-07-01,31.0
2016-07-02,31.0
2016-07-03,21.0
2016-07-04,30.0
2016-07-05,31.0
2016-07-06,34.0
2016-07-07,29.0
2016-07-08,26.0
2016-07-09,22.0
2016-07-10,19.0
2016-07-11,28.0
2016-07-12,34.0
2016-07-13,42.0
2016-07-14,35.0
2016-07-15,29.0
2016-07-16,13.0
2016-07-17,24.0
2016-07-18,35.0
2016-07-19,19.0
2016-07-20,42.0
2016-07-21,35.0
2016-07-22,25.0
2016-07-23,20.0
2016-07-24,17.0
2016-07-25,30.0
2016-07-26,31.0
2016-07-27,33.0
2016-07-28,24.0
2016-07-29,28.0
2016-07-30,16.0
2016-07-31,17.0
2016-08-01,33.0
2016-08-02,34.0
2016-08-03,35.0
2016-08-04,26.0
2016-08-05,29.0
2016-08-06,15.0
2016-08-07,23.0
2016-08-08,38.0
2016-08-09,31.0
2016-08-10,33.0
2016-08-11,35.0
2016-08-12,28.0
2016-08-13,24.0
2016-08-14,16.0
2016-08-15,29.0
2016-08-16,34.0
2016-08-17,32.0
2016-08-18,26.0
2016-08-19,26.0
2016-08-20,19.0
2016-08-21,25.0
2016-08-22,40.0
2016-08-23,38.0
2016-08-24,39.0
2016-08-25,44.0
2016-08-26,34.0
2016-08-27,14.0
2016-08-28,23.0
2016-08-29,37.0
2016-08-30,40.0
2016-08-31,34.0
2016-09-01,39.0
2016-09-02,38.0
2016-09-03,23.0
2016-09-04,22.0
2016-09-05,28.0
2016-09-06,44.0
2016-09-07,47.0
2016-09-08,42.0
2016-09-09,40.0
2016-09-10,21.0
2016-09-11,31.0
2016-09-12,48.0
2016-09-13,54.0
2016-09-14,42.0
2016-09-15,45.0
2016-09-16,44.0
2016-09-17,19.0
2016-09-18,32.0
2016-09-19,42.0
2016-09-20,56.0
2016-09-21,49.0
2016-09-22,49.0
2016-09-23,40.0
2016-09-24,30.0
2016-09-25,19.0
2016-09-26,46.0
2016-09-27,48.0
2016-09-28,56.0
2016-09-29,47.0
2016-09-30,43.0
2016-10-01,23.0
2016-10-02,28.0
2016-10-03,44.0
2016-10-04,44.0
2016-10-05,38.0
2016-10-06,44.0
2016-10-07,43.0
2016-10-08,17.0
2016-10-09,31.0
2016-10-10,49.0
2016-10-11,49.0
2016-10-12,54.0
2016-10-13,47.0
2016-10-14,39.0
2016-10-15,20.0
2016-10-16,31.0
2016-10-17,46.0
2016-10-18,45.0
2016-10-19,49.0
2016-10-20,50.0
2016-10-21,45.0
2016-10-22,21.0
2016-10-23,29.0
2016-10-24,49.0
2016-10-25,44.0
2016-10-26,50.0
2016-10-27,52.0
2016-10-28,36.0
2016-10-29,19.0
2016-10-30,41.0
2016-10-31,57.0
2016-11-01,70.0
2016-11-02,78.0
2016-11-03,85.0
