date,renewable
2015-01-01,17
2015-01-02,28
2015-01-03,29
2015-01-04,24
2015-01-05,56
2015-01-06,80
2015-01-07,78
2015-01-08,72
2015-01-09,60
2015-01-10,35
2015-01-11,49
2015-01-12,67
2015-01-13,77
2015-01-14,77
2015-01-15,63
2015-01-16,58
2015-01-17,26
2015-01-18,43
2015-01-19,55
2015-01-20,53
2015-01-21,80
2015-01-22,71
2015-01-23,56
2015-01-24,47
2015-01-25,36
2015-01-26,65
2015-01-27,93
2015-01-28,70
2015-01-29,74
2015-01-30,67
2015-01-31,31
2015-02-01,41
2015-02-02,71
2015-02-03,70
2015-02-04,77
2015-02-05,59
2015-02-06,64
2015-02-07,38
2015-02-08,37
2015-02-09,66
2015-02-10,76
2015-02-11,73
2015-02-12,68
2015-02-13,51
2015-02-14,36
2015-02-15,33
2015-02-16,62
2015-02-17,67
2015-02-18,77
2015-02-19,80
2015-02-20,74
2015-02-21,46
2015-02-22,44
2015-02-23,67
2015-02-24,81
2015-02-25,72
2015-02-26,73
2015-02-27,73
2015-02-28,50
2015-03-01,44
2015-03-02,88
2015-03-03,67
2015-03-04,74
2015-03-05,73
2015-03-06,70
2015-03-07,29
2015-03-08,40
2015-03-09,66
2015-03-10,71
2015-03-11,69
2015-03-12,73
2015-03-13,66
2015-03-14,30
2015-03-15,41
2015-03-16,72
2015-03-17,70
2015-03-18,66
2015-03-19,65
2015-03-20,65
2015-03-21,31
2015-03-22,51
2015-03-23,64
2015-03-24,85
2015-03-25,77
2015-03-26,78
2015-03-27,68
2015-03-28,32
2015-03-29,48
2015-03-30,72
2015-03-31,86
2015-04-01,57
2015-04-02,54
2015-04-03,37
2015-04-04,24
2015-04-05,40
2015-04-06,57
2015-04-07,56
2015-04-08,72
2015-04-09,62
2015-04-10,56
2015-04-11,38
2015-04-12,31
2015-04-13,81
2015-04-14,91
2015-04-15,79
2015-04-16,72
2015-04-17,66
2015-04-18,38
2015-04-19,44
2015-04-20,80
2015-04-21,83
2015-04-22,88
2015-04-23,87
2015-04-24,64
2015-04-25,36
2015-04-26,51
2015-04-27,92
2015-04-28,100
2015-04-29,84
2015-04-30,94
2015-05-01,58
2015-05-02,37
2015-05-03,43
2015-05-04,70
2015-05-05,77
2015-05-06,77
2015-05-07,71
2015-05-08,67
2015-05-09,42
2015-05-10,43
2015-05-11,69
2015-05-12,77
2015-05-13,68
2015-05-14,78
2015-05-15,63
2015-05-16,30
2015-05-17,43
2015-05-18,80
2015-05-19,75
2015-05-20,78
2015-05-21,77
2015-05-22,60
2015-05-23,25
2015-05-24,39
2015-05-25,64
2015-05-26,75
2015-05-27,78
2015-05-28,59
2015-05-29,53
2015-05-30,34
2015-05-31,43
2015-06-01,78
2015-06-02,67
2015-06-03,70
2015-06-04,73
2015-06-05,78
2015-06-06,31
2015-06-07,25
2015-06-08,65
2015-06-09,69
2015-06-10,66
2015-06-11,69
2015-06-12,55
2015-06-13,33
2015-06-14,45
2015-06-15,68
2015-06-16,47
2015-06-17,64
2015-06-18,53
2015-06-19,47
2015-06-20,37
2015-06-21,36
2015-06-22,52
2015-06-23,50
2015-06-24,52
2015-06-25,53
2015-06-26,43
