date,coal
2016-01-01,59
2016-01-02,64
2016-01-03,64
2016-01-04,63
2016-01-05,73
2016-01-06,75
2016-01-07,76
2016-01-08,73
2016-01-09,62
2016-01-10,56
2016-01-11,80
2016-01-12,71
2016-01-13,78
2016-01-14,71
2016-01-15,70
2016-01-16,63
2016-01-17,51
2016-01-18,71
2016-01-19,82
2016-01-20,66
2016-01-21,77
2016-01-22,77
2016-01-23,54
2016-01-24,60
2016-01-25,73
2016-01-26,68
2016-01-27,79
2016-01-28,72
2016-01-29,78
2016-01-30,58
2016-01-31,55
2016-02-01,72
2016-02-02,76
2016-02-03,73
2016-02-04,78
2016-02-05,72
2016-02-06,60
2016-02-07,60
2016-02-08,73
2016-02-09,69
2016-02-10,79
2016-02-11,78
2016-02-12,77
2016-02-13,61
2016-02-14,63
2016-02-15,69
2016-02-16,85
2016-02-17,75
2016-02-18,77
2016-02-19,75
2016-02-20,56
2016-02-21,63
2016-02-22,84
2016-02-23,78
2016-02-24,80
2016-02-25,79
2016-02-26,76
2016-02-27,65
2016-02-28,53
2016-02-29,71
2016-03-01,68
2016-03-02,82
2016-03-03,80
2016-03-04,77
2016-03-05,62
2016-03-06,60
2016-03-07,72
2016-03-08,82
2016-03-09,80
2016-03-10,86
2016-03-11,77
2016-03-12,56
2016-03-13,67
2016-03-14,100
2016-03-15,84
2016-03-16,82
2016-03-17,71
2016-03-18,73
2016-03-19,62
2016-03-20,64
2016-03-21,71
2016-03-22,68
2016-03-23,71
2016-03-24,68
2016-03-25,61
2016-03-26,55
2016-03-27,69
2016-03-28,67
2016-03-29,69
2016-03-30,77
2016-03-31,80
2016-04-01,74
2016-04-02,58
2016-04-03,58
2016-04-04,71
2016-04-05,77
2016-04-06,84
2016-04-07,89
2016-04-08,72
2016-04-09,64
2016-04-10,56
2016-04-11,72
2016-04-12,83
2016-04-13,89
2016-04-14,73
2016-04-15,77
2016-04-16,68
2016-04-17,67
2016-04-18,82
2016-04-19,73
2016-04-20,72
2016-04-21,81
2016-04-22,81
2016-04-23,55
2016-04-24,55
2016-04-25,82
2016-04-26,76
2016-04-27,71
2016-04-28,75
2016-04-29,74
2016-04-30,50
2016-05-01,55
2016-05-02,68
2016-05-03,86
2016-05-04,95
2016-05-05,89
2016-05-06,83
2016-05-07,70
2016-05-08,57
2016-05-09,75
2016-05-10,79
2016-05-11,82
2016-05-12,80
2016-05-13,64
2016-05-14,54
2016-05-15,57
2016-05-16,66
2016-05-17,72
2016-05-18,65
2016-05-19,64
2016-05-20,71
2016-05-21,61
2016-05-22,63
2016-05-23,64
2016-05-24,75
2016-05-25,68
2016-05-26,68
2016-05-27,76
2016-05-28,53
2016-05-29,60
2016-05-30,65
2016-05-31,70
2016-06-01,65
2016-06-02,66
2016-06-03,73
2016-06-04,51
2016-06-05,65
2016-06-06,67
2016-06-07,64
2016-06-08,77
2016-06-09,68
2016-06-10,62
2016-06-11,65
2016-06-12,49
2016-06-13,62
2016-06-14,62
2016-06-15,62
2016-06-16,65
2016-06-17,72
2016-06-18,63
2016-06-19,52
2016-06-20,70
2016-06-21,58
2016-06-22,66
2016-06-23,65
2016-06-24,61
2016-06-25,53
2016-06-26,50
2016-06-27,58
2016-06-28,72
2016-06-29,64
2016-06-30,61
2016-07-01,58
2016-07-02,58
2016-07-03,47
2016-07-04,61
2016-07-05,59
2016-07-06,63
2016-07-07,63
2016-07-08,58
2016-07-09,52
2016-07-10,55
2016-07-11,63
2016-07-12,62
2016-07-13,52
2016-07-14,62
2016-07-15,63
2016-07-16,49
2016-07-17,48
2016-07-18,64
2016-07-19,59
2016-07-20,73
2016-07-21,65
2016-07-22,51
2016-07-23,52
2016-07-24,54
2016-07-25,69
2016-07-26,66
2016-07-27,65
2016-07-28,63
