date,elon musk
2016-01-01,27
2016-01-02,24
2016-01-03,26
2016-01-04,25
2016-01-05,28
2016-01-06,23
2016-01-07,22
2016-01-08,13
2016-01-09,22
2016-01-10,18
2016-01-11,28
2016-01-12,31
2016-01-13,28
2016-01-14,30
2016-01-15,16
2016-01-16,21
2016-01-17,29
2016-01-18,52
2016-01-19,25
2016-01-20,21
2016-01-21,18
2016-01-22,20
2016-01-23,20
2016-01-24,16
2016-01-25,15
2016-01-26,25
2016-01-27,19
2016-01-28,20
2016-01-29,24
2016-01-30,25
2016-01-31,35
2016-02-01,30
2016-02-02,27
2016-02-03,38
2016-02-04,43
2016-02-05,38
2016-02-06,51
2016-02-07,45
2016-02-08,30
2016-02-09,32
2016-02-10,30
2016-02-11,33
2016-02-12,24
2016-02-13,27
2016-02-14,21
2016-02-15,21
2016-02-16,21
2016-02-17,19
2016-02-18,26
2016-02-19,18
2016-02-20,16
2016-02-21,22
2016-02-22,25
2016-02-23,23
2016-02-24,31
2016-02-25,24
2016-02-26,20
2016-02-27,21
2016-02-28,25
2016-02-29,35
2016-03-01,20
2016-03-02,16
2016-03-03,26
2016-03-04,20
2016-03-05,20
2016-03-06,21
2016-03-07,17
2016-03-08,25
2016-03-09,20
2016-03-10,23
2016-03-11,17
2016-03-12,22
2016-03-13,17
2016-03-14,18
2016-03-15,15
2016-03-16,12
2016-03-17,17
2016-03-18,17
2016-03-19,18
2016-03-20,18
2016-03-21,25
2016-03-22,56
2016-03-23,21
2016-03-24,18
2016-03-25,18
2016-03-26,24
2016-03-27,19
2016-03-28,27
2016-03-29,21
2016-03-30,20
2016-03-31,29
2016-04-01,100
2016-04-02,79
2016-04-03,75
2016-04-04,57
2016-04-05,33
2016-04-06,36
2016-04-07,38
2016-04-08,49
2016-04-09,96
2016-04-10,39
2016-04-11,44
2016-04-12,34
2016-04-13,24
2016-04-14,24
2016-04-15,46
2016-04-16,37
2016-04-17,36
2016-04-18,34
2016-04-19,35
2016-04-20,30
2016-04-21,32
2016-04-22,33
2016-04-23,21
2016-04-24,26
2016-04-25,27
2016-04-26,24
2016-04-27,27
2016-04-28,34
2016-04-29,29
2016-04-30,28
2016-05-01,32
2016-05-02,29
2016-05-03,44
2016-05-04,32
2016-05-05,46
2016-05-06,46
2016-05-07,28
2016-05-08,28
2016-05-09,25
2016-05-10,30
2016-05-11,33
2016-05-12,44
2016-05-13,27
2016-05-14,31
2016-05-15,28
2016-05-16,32
2016-05-17,18
2016-05-18,24
2016-05-19,21
2016-05-20,26
2016-05-21,22
2016-05-22,18
2016-05-23,23
2016-05-24,17
2016-05-25,21
2016-05-26,26
2016-05-27,22
2016-05-28,27
2016-05-29,19
2016-05-30,19
2016-05-31,22
2016-06-01,24
2016-06-02,70
2016-06-03,83
2016-06-04,55
2016-06-05,42
2016-06-06,43
2016-06-07,40
2016-06-08,41
2016-06-09,44
2016-06-10,35
2016-06-11,37
2016-06-12,32
2016-06-13,27
2016-06-14,32
2016-06-15,29
2016-06-16,22
2016-06-17,31
2016-06-18,31
2016-06-19,28
2016-06-20,21
2016-06-21,31
2016-06-22,43
2016-06-23,37
2016-06-24,27
2016-06-25,23
2016-06-26,23
2016-06-27,17
2016-06-28,25
2016-06-29,29
2016-06-30,23
2016-07-01,31
2016-07-02,26
2016-07-03,24
2016-07-04,25
2016-07-05,21
2016-07-06,23
2016-07-07,26
2016-07-08,19
2016-07-09,21
2016-07-10,21
2016-07-11,26
2016-07-12,20
2016-07-13,25
2016-07-14,20
2016-07-15,23
2016-07-16,20
2016-07-17,31
2016-07-18,32
2016-07-19,33
2016-07-20,36
2016-07-21,60
2016-07-22,95
2016-07-23,54
2016-07-24,24
2016-07-25,28
2016-07-26,28
2016-07-27,40
2016-07-28,31
2016-07-29,26
2016-07-30,29
2016-07-31,30
2016-08-01,34
2016-08-02,34
2016-08-03,45
2016-08-04,43
2016-08-05,29
2016-08-06,32
2016-08-07,20
2016-08-08,21
2016-08-09,24
2016-08-10,24
2016-08-11,26
2016-08-12,17
2016-08-13,27
2016-08-14,26
2016-08-15,25
2016-08-16,30
2016-08-17,26
2016-08-18,23
2016-08-19,24
2016-08-20,25
2016-08-21,25
2016-08-22,21
2016-08-23,33
2016-08-24,24
2016-08-25,24
2016-08-26,32
2016-08-27,27
2016-08-28,22
2016-08-29,19
2016-08-30,21
2016-08-31,13
2016-09-01,29
2016-09-02,31
2016-09-03,21
2016-09-04,12
2016-09-05,16
2016-09-06,13
2016-09-07,9
2016-09-08,12
2016-09-09,13
2016-09-10,12
2016-09-11,14
2016-09-12,11
2016-09-13,10
2016-09-14,12
2016-09-15,13
2016-09-16,10
2016-09-17,11
2016-09-18,9
2016-09-19,13
2016-09-20,14
2016-09-21,13
2016-09-22,13
2016-09-23,12
2016-09-24,15
2016-09-25,13
2016-09-26,13
2016-09-27,43
2016-09-28,76
2016-09-29,46
2016-09-30,31
2016-10-01,26
2016-10-02,24
2016-10-03,21
2016-10-04,20
2016-10-05,18
2016-10-06,18
2016-10-07,18
2016-10-08,14
2016-10-09,15
2016-10-10,14
2016-10-11,22
2016-10-12,18
2016-10-13,15
2016-10-14,14
2016-10-15,9
2016-10-16,14
2016-10-17,18
2016-10-18,16
2016-10-19,24
2016-10-20,25
2016-10-21,17
2016-10-22,15
2016-10-23,17
2016-10-24,19
2016-10-25,15
2016-10-26,12
2016-10-27,13
2016-10-28,14
2016-10-29,33
2016-10-30,27
2016-10-31,26
2016-11-01,24
2016-11-02,19
2016-11-03,23
2016-11-04,24
2016-11-05,21
2016-11-06,28
2016-11-07,18
2016-11-08,17
2016-11-09,24
2016-11-10,19
2016-11-11,15
2016-11-12,10
2016-11-13,19
2016-11-14,19
2016-11-15,15
2016-11-16,13
2016-11-17,22
2016-11-18,21
2016-11-19,16
2016-11-20,20
2016-11-21,17
2016-11-22,22
2016-11-23,16
2016-11-24,16
2016-11-25,14
2016-11-26,11
2016-11-27,16
2016-11-28,17
2016-11-29,22
2016-11-30,18
2016-12-01,17
2016-12-02,14
2016-12-03,11
2016-12-04,13
2016-12-05,17
2016-12-06,14
2016-12-07,16
2016-12-08,14
2016-12-09,10
2016-12-10,13
2016-12-11,12
