date,energy
2016-01-01,49
2016-01-02,52
2016-01-03,55
2016-01-04,83
2016-01-05,86
2016-01-06,86
2016-01-07,88
2016-01-08,84
2016-01-09,57
2016-01-10,59
2016-01-11,86
2016-01-12,89
2016-01-13,86
2016-01-14,85
2016-01-15,82
2016-01-16,55
2016-01-17,56
2016-01-18,83
2016-01-19,88
2016-01-20,90
2016-01-21,92
2016-01-22,87
2016-01-23,64
2016-01-24,59
2016-01-25,88
2016-01-26,86
2016-01-27,91
2016-01-28,89
2016-01-29,85
2016-01-30,56
2016-01-31,63
2016-02-01,92
2016-02-02,95
2016-02-03,93
2016-02-04,95
2016-02-05,85
2016-02-06,57
2016-02-07,61
2016-02-08,91
2016-02-09,93
2016-02-10,92
2016-02-11,92
2016-02-12,83
2016-02-13,55
2016-02-14,53
2016-02-15,82
2016-02-16,93
2016-02-17,96
2016-02-18,93
2016-02-19,88
2016-02-20,59
2016-02-21,64
2016-02-22,94
2016-02-23,94
2016-02-24,94
2016-02-25,96
2016-02-26,87
2016-02-27,60
2016-02-28,59
2016-02-29,92
2016-03-01,95
2016-03-02,96
2016-03-03,100
2016-03-04,88
2016-03-05,55
2016-03-06,60
2016-03-07,87
2016-03-08,91
2016-03-09,92
2016-03-10,92
2016-03-11,81
2016-03-12,58
2016-03-13,59
2016-03-14,92
2016-03-15,90
2016-03-16,89
2016-03-17,88
2016-03-18,78
2016-03-19,52
2016-03-20,58
2016-03-21,91
2016-03-22,85
2016-03-23,82
2016-03-24,78
2016-03-25,63
2016-03-26,49
2016-03-27,48
2016-03-28,78
2016-03-29,83
2016-03-30,83
2016-03-31,86
2016-04-01,81
2016-04-02,56
2016-04-03,61
2016-04-04,93
2016-04-05,90
2016-04-06,92
2016-04-07,88
2016-04-08,81
2016-04-09,58
2016-04-10,59
2016-04-11,94
2016-04-12,89
2016-04-13,91
2016-04-14,92
2016-04-15,88
2016-04-16,56
2016-04-17,61
2016-04-18,93
2016-04-19,90
2016-04-20,90
2016-04-21,90
2016-04-22,86
2016-04-23,56
2016-04-24,57
2016-04-25,89
2016-04-26,90
2016-04-27,91
2016-04-28,94
2016-04-29,86
2016-04-30,57
2016-05-01,61
2016-05-02,89
2016-05-03,94
2016-05-04,88
2016-05-05,88
2016-05-06,78
2016-05-07,53
2016-05-08,54
2016-05-09,88
2016-05-10,90
2016-05-11,88
2016-05-12,85
2016-05-13,83
2016-05-14,52
2016-05-15,54
2016-05-16,88
2016-05-17,86
2016-05-18,86
2016-05-19,83
2016-05-20,75
2016-05-21,52
2016-05-22,55
2016-05-23,83
2016-05-24,84
2016-05-25,84
2016-05-26,83
2016-05-27,71
2016-05-28,51
2016-05-29,54
2016-05-30,67
2016-05-31,83
2016-06-01,81
2016-06-02,82
2016-06-03,72
2016-06-04,51
2016-06-05,55
2016-06-06,75
2016-06-07,79
2016-06-08,78
2016-06-09,75
2016-06-10,70
2016-06-11,49
2016-06-12,50
2016-06-13,71
2016-06-14,74
2016-06-15,78
2016-06-16,74
2016-06-17,67
2016-06-18,49
2016-06-19,48
2016-06-20,72
2016-06-21,72
2016-06-22,72
2016-06-23,71
2016-06-24,65
2016-06-25,48
2016-06-26,48
2016-06-27,70
2016-06-28,70
2016-06-29,75
2016-06-30,72
2016-07-01,69
2016-07-02,47
2016-07-03,46
2016-07-04,59
2016-07-05,71
2016-07-06,75
2016-07-07,70
2016-07-08,65
2016-07-09,53
2016-07-10,45
2016-07-11,73
2016-07-12,72
2016-07-13,74
2016-07-14,70
2016-07-15,67
