date,fossil fuels
2015-01-01,22
2015-01-02,14
2015-01-03,20
2015-01-04,33
2015-01-05,33
2015-01-06,53
2015-01-07,45
2015-01-08,81
2015-01-09,61
2015-01-10,24
2015-01-11,38
2015-01-12,53
2015-01-13,74
2015-01-14,56
2015-01-15,70
2015-01-16,48
2015-01-17,16
2015-01-18,25
2015-01-19,35
2015-01-20,51
2015-01-21,44
2015-01-22,60
2015-01-23,41
2015-01-24,37
2015-01-25,35
2015-01-26,59
2015-01-27,50
2015-01-28,53
2015-01-29,58
2015-01-30,31
2015-01-31,16
2015-02-01,45
2015-02-02,46
2015-02-03,66
2015-02-04,55
2015-02-05,78
2015-02-06,48
2015-02-07,16
2015-02-08,35
2015-02-09,48
2015-02-10,62
2015-02-11,64
2015-02-12,60
2015-02-13,55
2015-02-14,14
2015-02-15,36
2015-02-16,35
2015-02-17,43
2015-02-18,56
2015-02-19,23
2015-02-20,34
2015-02-21,16
2015-02-22,27
2015-02-23,70
2015-02-24,71
2015-02-25,36
2015-02-26,53
2015-02-27,61
2015-02-28,29
2015-03-01,45
2015-03-02,54
2015-03-03,73
2015-03-04,71
2015-03-05,57
2015-03-06,43
2015-03-07,24
2015-03-08,59
2015-03-09,68
2015-03-10,41
2015-03-11,68
2015-03-12,83
2015-03-13,36
2015-03-14,16
2015-03-15,32
2015-03-16,73
2015-03-17,71
2015-03-18,64
2015-03-19,43
2015-03-20,51
2015-03-21,16
2015-03-22,26
2015-03-23,61
2015-03-24,70
2015-03-25,60
2015-03-26,52
2015-03-27,62
2015-03-28,32
2015-03-29,28
2015-03-30,41
2015-03-31,55
2015-04-01,52
2015-04-02,59
2015-04-03,21
2015-04-04,8
2015-04-05,20
2015-04-06,22
2015-04-07,54
2015-04-08,60
2015-04-09,53
2015-04-10,60
2015-04-11,44
2015-04-12,22
2015-04-13,42
2015-04-14,84
2015-04-15,71
2015-04-16,78
2015-04-17,60
2015-04-18,27
2015-04-19,48
2015-04-20,77
2015-04-21,69
2015-04-22,73
2015-04-23,70
2015-04-24,50
2015-04-25,33
2015-04-26,43
2015-04-27,80
2015-04-28,80
2015-04-29,66
2015-04-30,100
2015-05-01,62
2015-05-02,14
2015-05-03,43
2015-05-04,48
2015-05-05,70
2015-05-06,82
2015-05-07,74
2015-05-08,51
2015-05-09,11
2015-05-10,44
2015-05-11,61
2015-05-12,72
2015-05-13,82
2015-05-14,78
2015-05-15,60
2015-05-16,19
2015-05-17,43
2015-05-18,65
2015-05-19,60
2015-05-20,54
2015-05-21,69
2015-05-22,50
2015-05-23,22
2015-05-24,41
2015-05-25,36
2015-05-26,53
2015-05-27,79
2015-05-28,66
2015-05-29,49
2015-05-30,30
2015-05-31,24
2015-06-01,45
2015-06-02,47
2015-06-03,67
2015-06-04,60
2015-06-05,44
2015-06-06,24
2015-06-07,30
2015-06-08,51
2015-06-09,49
2015-06-10,48
2015-06-11,53
2015-06-12,51
2015-06-13,22
2015-06-14,19
2015-06-15,45
2015-06-16,47
2015-06-17,20
2015-06-18,44
2015-06-19,43
2015-06-20,14
2015-06-21,28
2015-06-22,38
2015-06-23,36
2015-06-24,30
2015-06-25,23
2015-06-26,31
2015-06-27,8
2015-06-28,30
2015-06-29,23
2015-06-30,23
2015-07-01,23
2015-07-02,26
2015-07-03,7
2015-07-04,22
2015-07-05,20
2015-07-06,36
2015-07-07,22
2015-07-08,21
2015-07-09,23
2015-07-10,12
2015-07-11,14
2015-07-12,33
2015-07-13,20
2015-07-14,41
2015-07-15,5
2015-07-16,19
2015-07-17,22
2015-07-18,15
2015-07-19,21
2015-07-20,29
2015-07-21,21
2015-07-22,14
2015-07-23,25
2015-07-24,19
2015-07-25,19
2015-07-26,28
2015-07-27,18
2015-07-28,20
2015-07-29,23
2015-07-30,18
2015-07-31,5
2015-08-01,16
2015-08-02,11
2015-08-03,30
2015-08-04,20
2015-08-05,28
2015-08-06,28
2015-08-07,14
2015-08-08,14
2015-08-09,30
2015-08-10,20
2015-08-11,23
2015-08-12,18
2015-08-13,23
2015-08-14,24
2015-08-15,27
2015-08-16,11
2015-08-17,11
2015-08-18,18
2015-08-19,25
2015-08-20,25
2015-08-21,14
2015-08-22,11
2015-08-23,37
2015-08-24,27
2015-08-25,22
2015-08-26,24
2015-08-27,34
2015-08-28,9
2015-08-29,21
2015-08-30,18
2015-08-31,26
2015-09-01,36
2015-09-02,39
2015-09-03,47
2015-09-04,31
2015-09-05,22
2015-09-06,25
2015-09-07,41
2015-09-08,46
2015-09-09,46
2015-09-10,63
2015-09-11,38
2015-09-12,19
2015-09-13,44
2015-09-14,54
2015-09-15,43
2015-09-16,57
2015-09-17,46
2015-09-18,50
2015-09-19,29
2015-09-20,37
2015-09-21,63
2015-09-22,45
2015-09-23,66
2015-09-24,35
2015-09-25,51
2015-09-26,19
2015-09-27,35
2015-09-28,51
2015-09-29,58
2015-09-30,70
2015-10-01,50
2015-10-02,36
2015-10-03,27
2015-10-04,31
2015-10-05,49
2015-10-06,78
2015-10-07,48
2015-10-08,70
2015-10-09,46
2015-10-10,27
2015-10-11,40
2015-10-12,60
2015-10-13,69
2015-10-14,83
2015-10-15,73
2015-10-16,39
2015-10-17,26
2015-10-18,46
2015-10-19,64
2015-10-20,79
2015-10-21,63
2015-10-22,49
2015-10-23,33
2015-10-24,24
2015-10-25,41
2015-10-26,60
2015-10-27,79
2015-10-28,68
2015-10-29,88
2015-10-30,40
2015-10-31,21
2015-11-01,42
2015-11-02,58
2015-11-03,99
2015-11-04,91
2015-11-05,73
2015-11-06,72
2015-11-07,21
2015-11-08,36
2015-11-09,69
2015-11-10,62
2015-11-11,71
2015-11-12,75
2015-11-13,82
2015-11-14,33
2015-11-15,36
2015-11-16,69
2015-11-17,75
2015-11-18,85
2015-11-19,84
2015-11-20,53
2015-11-21,28
2015-11-22,48
2015-11-23,79
2015-11-24,74
2015-11-25,44
2015-11-26,42
2015-11-27,33
2015-11-28,28
2015-11-29,48
2015-11-30,64
2015-12-01,83
2015-12-02,96
2015-12-03,74
2015-12-04,80
2015-12-05,18
2015-12-06,31
2015-12-07,75
2015-12-08,73
2015-12-09,80
2015-12-10,76
2015-12-11,77
2015-12-12,32
2015-12-13,72
2015-12-14,88
2015-12-15,80
2015-12-16,90
2015-12-17,73
2015-12-18,62
2015-12-19,19
2015-12-20,22
2015-12-21,21
2015-12-22,26
2015-12-23,32
2015-12-24,20
2015-12-25,12
2015-12-26,17
2015-12-27,14
2015-12-28,14
2015-12-29,12
2015-12-30,12
2015-12-31,25
2016-01-01,12
2016-01-02,17
2016-01-03,16
2016-01-04,41
2016-01-05,43
2016-01-06,65
2016-01-07,74
2016-01-08,37
2016-01-09,27
2016-01-10,50
2016-01-11,42
2016-01-12,100
2016-01-13,71
2016-01-14,49
2016-01-15,44
2016-01-16,14
2016-01-17,29
2016-01-18,40
2016-01-19,82
2016-01-20,47
2016-01-21,64
2016-01-22,44
2016-01-23,27
2016-01-24,29
2016-01-25,39
2016-01-26,58
2016-01-27,68
2016-01-28,59
2016-01-29,43
2016-01-30,19
2016-01-31,29
2016-02-01,72
2016-02-02,63
2016-02-03,72
2016-02-04,37
2016-02-05,62
2016-02-06,32
2016-02-07,21
2016-02-08,71
2016-02-09,83
2016-02-10,81
2016-02-11,47
2016-02-12,49
2016-02-13,16
2016-02-14,21
2016-02-15,37
2016-02-16,52
2016-02-17,51
2016-02-18,34
2016-02-19,45
2016-02-20,19
2016-02-21,47
2016-02-22,80
2016-02-23,79
2016-02-24,97
2016-02-25,97
2016-02-26,56
2016-02-27,26
2016-02-28,31
2016-02-29,72
2016-03-01,73
2016-03-02,73
2016-03-03,65
2016-03-04,52
2016-03-05,18
2016-03-06,39
2016-03-07,94
2016-03-08,55
2016-03-09,43
2016-03-10,67
2016-03-11,58
2016-03-12,27
2016-03-13,47
2016-03-14,60
2016-03-15,67
2016-03-16,62
2016-03-17,54
2016-03-18,43
2016-03-19,18
2016-03-20,53
2016-03-21,77
2016-03-22,56
2016-03-23,45
2016-03-24,54
2016-03-25,26
2016-03-26,3
2016-03-27,25
2016-03-28,41
2016-03-29,64
2016-03-30,49
2016-03-31,44
2016-04-01,46
2016-04-02,40
2016-04-03,37
2016-04-04,51
