date,hydroelectric energy
2016-01-01,0
2016-01-02,9
2016-01-03,28
2016-01-04,8
2016-01-05,32
2016-01-06,41
2016-01-07,24
2016-01-08,16
2016-01-09,0
2016-01-10,18
2016-01-11,54
2016-01-12,39
2016-01-13,48
2016-01-14,70
2016-01-15,33
2016-01-16,0
2016-01-17,35
2016-01-18,16
2016-01-19,8
2016-01-20,31
2016-01-21,24
2016-01-22,50
2016-01-23,9
2016-01-24,0
2016-01-25,39
2016-01-26,40
2016-01-27,40
2016-01-28,16
2016-01-29,57
2016-01-30,18
2016-01-31,18
2016-02-01,24
2016-02-02,63
2016-02-03,47
2016-02-04,32
2016-02-05,8
2016-02-06,46
2016-02-07,18
2016-02-08,64
2016-02-09,56
2016-02-10,55
2016-02-11,48
2016-02-12,33
2016-02-13,0
2016-02-14,0
2016-02-15,24
2016-02-16,31
2016-02-17,71
2016-02-18,31
2016-02-19,32
2016-02-20,0
2016-02-21,9
2016-02-22,77
2016-02-23,100
2016-02-24,54
2016-02-25,24
2016-02-26,24
2016-02-27,0
2016-02-28,44
2016-02-29,38
2016-03-01,15
2016-03-02,46
2016-03-03,62
2016-03-04,32
2016-03-05,9
2016-03-06,9
2016-03-07,8
2016-03-08,61
2016-03-09,39
2016-03-10,31
2016-03-11,73
2016-03-12,9
2016-03-13,26
2016-03-14,70
2016-03-15,54
2016-03-16,62
2016-03-17,32
2016-03-18,8
2016-03-19,0
2016-03-20,9
2016-03-21,32
2016-03-22,39
2016-03-23,16
2016-03-24,33
2016-03-25,9
2016-03-26,0
2016-03-27,0
2016-03-28,40
2016-03-29,47
2016-03-30,31
2016-03-31,24
2016-04-01,0
2016-04-02,18
2016-04-03,9
2016-04-04,23
2016-04-05,39
2016-04-06,78
2016-04-07,8
2016-04-08,41
2016-04-09,9
2016-04-10,18
2016-04-11,46
2016-04-12,31
2016-04-13,23
2016-04-14,47
2016-04-15,41
2016-04-16,9
2016-04-17,35
2016-04-18,31
2016-04-19,23
2016-04-20,39
2016-04-21,80
2016-04-22,33
2016-04-23,27
2016-04-24,0
2016-04-25,54
2016-04-26,38
2016-04-27,70
2016-04-28,24
2016-04-29,66
2016-04-30,46
2016-05-01,18
