date,nuclear energy
2016-01-01,12
2016-01-02,25
2016-01-03,17
2016-01-04,40
2016-01-05,57
2016-01-06,64
2016-01-07,62
2016-01-08,61
2016-01-09,15
2016-01-10,34
2016-01-11,50
2016-01-12,43
2016-01-13,53
2016-01-14,58
2016-01-15,45
2016-01-16,19
2016-01-17,35
2016-01-18,45
2016-01-19,77
2016-01-20,75
2016-01-21,63
2016-01-22,47
2016-01-23,25
2016-01-24,42
2016-01-25,46
2016-01-26,43
2016-01-27,64
2016-01-28,65
2016-01-29,56
2016-01-30,17
2016-01-31,42
2016-02-01,62
2016-02-02,69
2016-02-03,77
2016-02-04,73
2016-02-05,45
2016-02-06,48
2016-02-07,36
2016-02-08,70
2016-02-09,74
2016-02-10,66
2016-02-11,55
2016-02-12,45
2016-02-13,38
2016-02-14,49
2016-02-15,52
2016-02-16,64
2016-02-17,71
2016-02-18,72
2016-02-19,59
2016-02-20,32
2016-02-21,46
2016-02-22,70
2016-02-23,73
2016-02-24,78
2016-02-25,68
2016-02-26,61
2016-02-27,23
2016-02-28,48
2016-02-29,95
2016-03-01,64
2016-03-02,76
2016-03-03,91
2016-03-04,57
2016-03-05,19
2016-03-06,39
2016-03-07,82
2016-03-08,99
2016-03-09,70
2016-03-10,67
2016-03-11,50
2016-03-12,26
2016-03-13,25
2016-03-14,57
2016-03-15,52
2016-03-16,53
2016-03-17,49
2016-03-18,64
2016-03-19,32
2016-03-20,40
2016-03-21,58
2016-03-22,72
2016-03-23,79
2016-03-24,55
2016-03-25,35
2016-03-26,40
2016-03-27,13
2016-03-28,67
2016-03-29,69
2016-03-30,57
2016-03-31,58
2016-04-01,38
2016-04-02,28
2016-04-03,36
2016-04-04,75
2016-04-05,66
2016-04-06,61
2016-04-07,79
2016-04-08,72
2016-04-09,43
2016-04-10,31
2016-04-11,66
2016-04-12,71
2016-04-13,79
2016-04-14,80
2016-04-15,55
2016-04-16,17
2016-04-17,38
2016-04-18,67
2016-04-19,93
2016-04-20,99
2016-04-21,80
2016-04-22,64
2016-04-23,37
2016-04-24,57
2016-04-25,91
2016-04-26,76
2016-04-27,76
2016-04-28,80
2016-04-29,61
2016-04-30,24
2016-05-01,57
2016-05-02,62
2016-05-03,76
2016-05-04,80
2016-05-05,85
2016-05-06,77
2016-05-07,24
2016-05-08,44
2016-05-09,79
2016-05-10,82
2016-05-11,100
2016-05-12,96
2016-05-13,77
2016-05-14,41
2016-05-15,42
2016-05-16,78
2016-05-17,61
2016-05-18,89
2016-05-19,61
2016-05-20,53
2016-05-21,31
2016-05-22,32
2016-05-23,81
2016-05-24,75
2016-05-25,86
2016-05-26,61
2016-05-27,50
2016-05-28,15
2016-05-29,24
2016-05-30,23
2016-05-31,41
2016-06-01,54
2016-06-02,56
2016-06-03,20
2016-06-04,25
2016-06-05,39
2016-06-06,34
2016-06-07,45
