date,wind energy
2016-01-01,32
2016-01-02,20
2016-01-03,37
2016-01-04,43
2016-01-05,37
2016-01-06,66
2016-01-07,61
2016-01-08,57
2016-01-09,34
2016-01-10,24
2016-01-11,41
2016-01-12,56
2016-01-13,77
2016-01-14,61
2016-01-15,53
2016-01-16,27
2016-01-17,31
2016-01-18,54
2016-01-19,54
2016-01-20,53
2016-01-21,49
2016-01-22,42
2016-01-23,13
2016-01-24,34
2016-01-25,52
2016-01-26,65
2016-01-27,55
2016-01-28,62
2016-01-29,59
2016-01-30,19
2016-01-31,23
2016-02-01,72
2016-02-02,71
2016-02-03,68
2016-02-04,61
2016-02-05,55
2016-02-06,45
2016-02-07,32
2016-02-08,49
2016-02-09,69
2016-02-10,57
2016-02-11,57
2016-02-12,41
2016-02-13,19
2016-02-14,41
2016-02-15,58
2016-02-16,57
2016-02-17,65
2016-02-18,63
2016-02-19,76
2016-02-20,32
2016-02-21,35
2016-02-22,57
2016-02-23,60
2016-02-24,58
2016-02-25,77
2016-02-26,53
2016-02-27,38
2016-02-28,43
2016-02-29,46
2016-03-01,56
2016-03-02,88
2016-03-03,64
2016-03-04,54
2016-03-05,26
2016-03-06,41
2016-03-07,55
2016-03-08,57
2016-03-09,74
2016-03-10,58
2016-03-11,58
2016-03-12,36
2016-03-13,52
2016-03-14,64
2016-03-15,77
2016-03-16,59
2016-03-17,42
2016-03-18,60
2016-03-19,28
2016-03-20,32
2016-03-21,73
2016-03-22,54
2016-03-23,60
2016-03-24,51
2016-03-25,26
2016-03-26,18
2016-03-27,28
2016-03-28,49
2016-03-29,51
2016-03-30,49
2016-03-31,61
2016-04-01,61
2016-04-02,34
2016-04-03,41
2016-04-04,77
2016-04-05,70
2016-04-06,67
2016-04-07,43
2016-04-08,64
2016-04-09,27
2016-04-10,24
2016-04-11,78
2016-04-12,68
2016-04-13,44
2016-04-14,63
2016-04-15,64
2016-04-16,54
2016-04-17,54
2016-04-18,53
2016-04-19,66
2016-04-20,78
2016-04-21,61
2016-04-22,71
2016-04-23,27
2016-04-24,45
2016-04-25,68
2016-04-26,63
2016-04-27,72
2016-04-28,66
2016-04-29,42
2016-04-30,25
2016-05-01,46
2016-05-02,52
2016-05-03,59
2016-05-04,73
2016-05-05,67
2016-05-06,65
2016-05-07,34
2016-05-08,47
2016-05-09,75
2016-05-10,54
2016-05-11,74
2016-05-12,92
2016-05-13,57
2016-05-14,29
2016-05-15,53
2016-05-16,70
2016-05-17,72
2016-05-18,100
2016-05-19,55
2016-05-20,42
2016-05-21,31
2016-05-22,27
2016-05-23,56
2016-05-24,80
2016-05-25,80
2016-05-26,52
2016-05-27,42
2016-05-28,21
2016-05-29,16
2016-05-30,34
2016-05-31,66
2016-06-01,54
2016-06-02,50
2016-06-03,33
2016-06-04,28
2016-06-05,37
2016-06-06,39
2016-06-07,52
2016-06-08,55
2016-06-09,47
2016-06-10,33
2016-06-11,25
2016-06-12,27
2016-06-13,46
2016-06-14,35
2016-06-15,35
2016-06-16,43
2016-06-17,26
2016-06-18,26
2016-06-19,29
2016-06-20,35
2016-06-21,47
2016-06-22,35
2016-06-23,24
2016-06-24,44
2016-06-25,16
2016-06-26,36
2016-06-27,48
2016-06-28,30
2016-06-29,56
2016-06-30,24
2016-07-01,25
2016-07-02,30
2016-07-03,32
2016-07-04,28
2016-07-05,39
2016-07-06,32
2016-07-07,23
2016-07-08,22
2016-07-09,34
2016-07-10,20
2016-07-11,55
2016-07-12,35
2016-07-13,48
2016-07-14,41
2016-07-15,31
2016-07-16,23
2016-07-17,37
2016-07-18,32
2016-07-19,39
2016-07-20,36
2016-07-21,34
2016-07-22,24
2016-07-23,12
2016-07-24,23
2016-07-25,42
2016-07-26,35
2016-07-27,35
2016-07-28,41
2016-07-29,31
2016-07-30,18
2016-07-31,33
2016-08-01,39
2016-08-02,47
2016-08-03,45
2016-08-04,47
2016-08-05,23
2016-08-06,22
2016-08-07,30
2016-08-08,34
2016-08-09,54
2016-08-10,47
2016-08-11,54
2016-08-12,16
2016-08-13,32
2016-08-14,26
2016-08-15,39
2016-08-16,37
2016-08-17,28
2016-08-18,38
2016-08-19,29
2016-08-20,15
2016-08-21,21
2016-08-22,54
2016-08-23,52
2016-08-24,30
2016-08-25,36
2016-08-26,38
2016-08-27,22
2016-08-28,24
2016-08-29,36
2016-08-30,29
2016-08-31,40
2016-09-01,35
2016-09-02,33
2016-09-03,16
2016-09-04,6
2016-09-05,35
2016-09-06,60
2016-09-07,49
2016-09-08,30
2016-09-09,53
2016-09-10,18
2016-09-11,24
2016-09-12,54
2016-09-13,38
2016-09-14,28
2016-09-15,61
2016-09-16,45
2016-09-17,16
2016-09-18,38
2016-09-19,39
2016-09-20,57
2016-09-21,51
2016-09-22,45
2016-09-23,29
2016-09-24,16
2016-09-25,31
2016-09-26,47
2016-09-27,64
2016-09-28,68
2016-09-29,46
2016-09-30,50
2016-10-01,23
2016-10-02,44
2016-10-03,54
2016-10-04,47
2016-10-05,37
2016-10-06,51
2016-10-07,49
2016-10-08,19
2016-10-09,31
2016-10-10,45
2016-10-11,57
2016-10-12,67
2016-10-13,51
2016-10-14,58
2016-10-15,29
2016-10-16,35
2016-10-17,45
2016-10-18,55
2016-10-19,69
2016-10-20,44
2016-10-21,55
2016-10-22,18
2016-10-23,29
2016-10-24,60
2016-10-25,60
2016-10-26,60
2016-10-27,57
2016-10-28,41
2016-10-29,25
2016-10-30,39
2016-10-31,47
2016-11-01,52
2016-11-02,70
2016-11-03,83
2016-11-04,63
2016-11-05,35
2016-11-06,32
2016-11-07,78
2016-11-08,84
2016-11-09,46
2016-11-10,54
2016-11-11,46
2016-11-12,27
2016-11-13,36
2016-11-14,60
2016-11-15,73
2016-11-16,80
2016-11-17,78
2016-11-18,67
2016-11-19,38
2016-11-20,41
2016-11-21,75
2016-11-22,48
2016-11-23,58
2016-11-24,40
2016-11-25,20
2016-11-26,21
2016-11-27,51
2016-11-28,61
2016-11-29,79
2016-11-30,77
2016-12-01,84
2016-12-02,60
2016-12-03,44
2016-12-04,48
2016-12-05,62
2016-12-06,63
2016-12-07,56
2016-12-08,73
2016-12-09,52
2016-12-10,36
2016-12-11,34
2016-12-12,66
2016-12-13,69
2016-12-14,60
2016-12-15,76
2016-12-16,57
2016-12-17,17
2016-12-18,29
2016-12-19,36
2016-12-20,45
2016-12-21,33
2016-12-22,46
2016-12-23,40
2016-12-24,21
2016-12-25,6
2016-12-26,20
2016-12-27,33
2016-12-28,33
2016-12-29,25
2016-12-30,15
2016-12-31,14
2017-01-01,24
2017-01-02,29
2017-01-03,54
2017-01-04,46
2017-01-05,45
2017-01-06,68
2017-01-07,27
2017-01-08,40
2017-01-09,57
2017-01-10,64
2017-01-11,54
2017-01-12,77
2017-01-13,55
2017-01-14,22
2017-01-15,37
2017-01-16,56
2017-01-17,46
2017-01-18,59
2017-01-19,65
2017-01-20,64
2017-01-21,37
2017-01-22,26
2017-01-23,74
2017-01-24,63
2017-01-25,52
2017-01-26,57
2017-01-27,62
2017-01-28,29
